ewtb.r.103519.2:32	at	Location	okay , I do nt have a review , but why in the hell would you name your business something that has the initials KKK .... is there something behind the scenes |at| this place ?
ewtb.r.103519.3:5	at this point	Time	Like I 'm legitimately concerned |at| |this| |point| ... lol
ewtb.r.103952.2:5	to	Function	This is a perfect place |to| get your hair done .
ewtb.r.103952.5:5	during	Duration	The service is great and |during| weekends it tends to get busy , but the wait is worthwhile .
ewtb.r.104703.3:8	to	Recipient	Darla is amazing , I would recoment her |to| anyone .
ewtb.r.105237.1:20	ago	DeicticTime	Worst place flour tortillas are always hard the beef enchiladas are discussing meat all over cooked was good many yrs |ago| but restaurant has gone down hill
ewtb.r.105326.2:6	with	Accompanier	+ there is a free cola |with| every pizza .
ewtb.r.105518.1:10	from	Donor/Speaker	Great experience - consider checking out their puppies before buying |from| a breeder !
ewtb.r.105518.1:8	before	RelativeTime	Great experience - consider checking out their puppies |before| buying from a breeder !
ewtb.r.105518.2:10	from	Donor/Speaker	I adopted a 3.5 month old yellow lab last winter |from| the Dumb Friends League .
ewtb.r.105518.3:10	for	Beneficiary	The staff was very helpful in finding the right dog |for| me and the care my pup received was outstanding .
ewtb.r.105518.3:5	in	Activity	The staff was very helpful |in| finding the right dog for me and the care my pup received was outstanding .
ewtb.r.105518.4:3	on the lookout	State	If you are |on| |the| |lookout| for a pure breed pup do n't forget to check out the shelters !
ewtb.r.105518.4:6	for	Theme	If you are on the lookout |for| a pure breed pup do n't forget to check out the shelters !
ewtb.r.105518.5:12	to	Co-Theme	My pup has a wonderful temperment and has been a wonderful addition |to| my family !
ewtb.r.105719.1:2	for	Scalar/Rank	Over priced |for| Mexican food
ewtb.r.106150.3:7	on	Time	They even want to go to school |on| the weekends !!
ewtb.r.106150.4:6	for	Purpose	They are preparing my older son |for| kindergarten and looks forward to seeing his teacher and friends every day .
ewtb.r.107292.2:2	on	Time	long lines |on| the weekends but worth it
ewtb.r.107608.1:1	in	Location	excellence |in| glasgow
ewtb.r.107608.2:10	by	Agent	I v just had my bmw z3 rear window replaced |by| the guys at kelvin trimmers .
ewtb.r.107608.2:13	at	ProfessionalAspect	I v just had my bmw z3 rear window replaced by the guys |at| kelvin trimmers .
ewtb.r.107608.3:21	with	Circumstance	The team who work there are helpfull , friendly and extremely knowledgeable and will help you as much as they can |with| thier years of hands on practice .
ewtb.r.107608.3:24	of	Quantity	The team who work there are helpfull , friendly and extremely knowledgeable and will help you as much as they can with thier years |of| hands on practice .
ewtb.r.107692.11:13	of	Quantity	I suggest you go up to Raging Taco & Raging Burrito a couple |of| blocks up the street or even Taco Mac .
ewtb.r.107692.11:15	up	Location	I suggest you go up to Raging Taco & Raging Burrito a couple of blocks |up| the street or even Taco Mac .
ewtb.r.107692.11:4	up	Direction	I suggest you go |up| to Raging Taco & Raging Burrito a couple of blocks up the street or even Taco Mac .
ewtb.r.107692.11:5	to	Destination	I suggest you go up |to| Raging Taco & Raging Burrito a couple of blocks up the street or even Taco Mac .
ewtb.r.107692.2:22	into	Destination	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills |into| the parking lot .
ewtb.r.107692.2:8	on	Location	The first thing you notice when you arrive |on| location is that the waiting line literally goes out the door and spills into the parking lot .
ewtb.r.107692.3:12	to	Purpose	A restaurant with this many patrons willing to stand in line just |to| order tacos must be good , right ?
ewtb.r.107692.3:2	with	Attribute	A restaurant |with| this many patrons willing to stand in line just to order tacos must be good , right ?
ewtb.r.107692.3:9	in line	State	A restaurant with this many patrons willing to stand |in| |line| just to order tacos must be good , right ?
ewtb.r.107692.4:17	at	Location	I mean , that 's the way it works at amusement parks : the longest lines are |at| the best rides .
ewtb.r.107692.4:9	at	Location	I mean , that 's the way it works |at| amusement parks : the longest lines are at the best rides .
ewtb.r.107692.6:18	of	Topic	The staff taking your order and " waiting " on you are very indifferent and have no sense |of| costumer service at all .
ewtb.r.107692.6:21	at all	Extent	The staff taking your order and " waiting " on you are very indifferent and have no sense of costumer service |at| |all| .
ewtb.r.107692.7:10	than	Scalar/Rank	I have gotten better results talking to COMCAST customer service |than| with these folks .
ewtb.r.107692.7:11	with	Co-Agent	I have gotten better results talking to COMCAST customer service than |with| these folks .
ewtb.r.107692.7:6	to	Recipient	I have gotten better results talking |to| COMCAST customer service than with these folks .
ewtb.r.107692.8:5	about	Topic	And do n't even think |about| asking to speak to the manager because this guy is , and pardon my French , a jerk .
ewtb.r.107692.8:9	to	Recipient	And do n't even think about asking to speak |to| the manager because this guy is , and pardon my French , a jerk .
ewtb.r.107692.9:28	for	Purpose	If you have gotten through ordering , dealing with the rude staff and if you followed the dumb rules , you are finally presented with what you came |for| .. some tacos that are " ok , " but definitely not worth putting up with all the hassle .
ewtb.r.107692.9:8	with	Theme	If you have gotten through ordering , dealing |with| the rude staff and if you followed the dumb rules , you are finally presented with what you came for .. some tacos that are " ok , " but definitely not worth putting up with all the hassle .
ewtb.r.108338.2:11	between	Co-Theme	Like the previous poster said , the com lines are split |between| the entire building .
ewtb.r.108338.3:5	than	Scalar/Rank	That 's 3 x worse |than| Qwest DSL 's lowest speed offering !
ewtb.r.108338.4:13	inside	Location	The outward appearance makes you think this place is nice , but everything |inside| is cheap cheap cheap .
ewtb.r.108338.5:2	as soon as	Time	Moving out |as| |soon| |as| our lease is up .
ewtb.r.109263.3:17	in	Theme	I had sonic in many other palces but for some reason this sonic is always just covered |in| grease and not good ... :(
ewtb.r.109263.3:3	in	Location	I had sonic |in| many other palces but for some reason this sonic is always just covered in grease and not good ... :(
ewtb.r.109263.5:9	in	DeicticTime	I am going to give it one last chance |in| next few months and see ??
ewtb.r.110441.1:2	in	Location	Favorite place |in| Tampa .
ewtb.r.110441.12:10	home	Direction	The portions were generous enough that we even took some |home| !
ewtb.r.110441.13:6	of	Possessor	I have to say the value |of| this place always amazes me .
ewtb.r.110441.14:7	in	Circumstance	It 's nice to see that even |in| the economy we can eat a place that has upscale service , amazing atmosphere , and Incredible food , but not break the bank while enjoying it !
ewtb.r.110441.15:12	like	Comparison/Contrast	Bottom line is that when it 's a small privatly owned resturant |like| this is you can tell that the owners and employees take pride in their product and service .
ewtb.r.110441.15:25	in	Stimulus	Bottom line is that when it 's a small privatly owned resturant like this is you can tell that the owners and employees take pride |in| their product and service .
ewtb.r.110441.2:6	to	Patient	Update : I had to add |to| my review .
ewtb.r.110441.3:12	in	Location	I was just in last night and had a chance to dine |in| their new dining room .
ewtb.r.110441.3:3	in	Location	I was just |in| last night and had a chance to dine in their new dining room .
ewtb.r.110441.5:11	for	Circumstance	I frequent this resturant on a weekly basis but usally only |for| lunch .
ewtb.r.110441.5:4	on a basis	Frequency	I frequent this resturant |on| |a| weekly |basis| but usally only for lunch .
ewtb.r.110441.6:11	by	Agent	Well I was in for a treat when I was greeted |by| the friendly girls at the counter who asked if my wife and I would like to sit in their " new " dining room .
ewtb.r.110441.6:15	at	Location	Well I was in for a treat when I was greeted by the friendly girls |at| the counter who asked if my wife and I would like to sit in their " new " dining room .
ewtb.r.110441.6:29	in	Location	Well I was in for a treat when I was greeted by the friendly girls at the counter who asked if my wife and I would like to sit |in| their " new " dining room .
ewtb.r.110441.7:12	with	Attribute	Right away they told us that it was the same great food |with| the same prices so off we went .
ewtb.r.110441.7:17	off	Direction	Right away they told us that it was the same great food with the same prices so |off| we went .
ewtb.r.110441.9:0	After	Explanation	|After| looking at the menu and seeing the new menu items they had , we knew we were in for a treat !
ewtb.r.110441.9:2	at	Stimulus	After looking |at| the menu and seeing the new menu items they had , we knew we were in for a treat !
ewtb.r.110908.2:3	in	Location	Had a meal |in| this pub and i have to say it was excellant .
ewtb.r.110908.3:13	into	Destination	It has to be one of the nicest pubs that i have been |into| in a long time , the decor is nice and it has a really nice garden and a lovely decking area .
ewtb.r.110908.3:14	in	DeicticTime	It has to be one of the nicest pubs that i have been into |in| a long time , the decor is nice and it has a really nice garden and a lovely decking area .
ewtb.r.110908.3:5	of	Superset	It has to be one |of| the nicest pubs that i have been into in a long time , the decor is nice and it has a really nice garden and a lovely decking area .
ewtb.r.111583.5:0	After	Explanation	|After| going to the hospital and paying ER prices ... there is no way I wo n't be back here !!
ewtb.r.111583.5:18	back	Direction	After going to the hospital and paying ER prices ... there is no way I wo n't be |back| here !!
ewtb.r.111583.5:2	to	Destination	After going |to| the hospital and paying ER prices ... there is no way I wo n't be back here !!
ewtb.r.111583.6:3	back	Direction	I will be |back| and telling EVERYONE about this clinic .
ewtb.r.111583.6:7	about	Topic	I will be back and telling EVERYONE |about| this clinic .
ewtb.r.112579.11:4	in	Location	A slice of heaven |in| winter park off forsyth !
ewtb.r.112579.11:7	off	Location	A slice of heaven in winter park |off| forsyth !
ewtb.r.112579.1:4	in	Location	My favorite cuban cafe |in| Orlando
ewtb.r.112579.2:12	along with	Accompanier	I have been eating Cuban for a long time , sandwiches mainly |along| |with| other dishes ..
ewtb.r.112579.2:5	for	DeicticTime	I have been eating Cuban |for| a long time , sandwiches mainly along with other dishes ..
ewtb.r.112579.3:23	at least	Approximator	I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in |at| |least| once a week and anytime I 'm in the area for a Cuban coffee or snack .
ewtb.r.112579.3:32	in	Location	I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in at least once a week and anytime I 'm |in| the area for a Cuban coffee or snack .
ewtb.r.112579.3:35	for	Purpose	I love Cuban coffee , colada ... mmmm anyways I found this place and ca n't stop going there , I stop in at least once a week and anytime I 'm in the area |for| a Cuban coffee or snack .
ewtb.r.112579.7:6	with	Attribute	They have a great lunch special |with| your choice of meat , chicken , steak , or pork and rice and black beans and fried plantains .
ewtb.r.112579.7:9	of	Theme	They have a great lunch special with your choice |of| meat , chicken , steak , or pork and rice and black beans and fried plantains .
ewtb.r.112661.4:4	with	Accompanier	Brought my wife Deb |with| me and she like the Fried Crab Wontons and said they were good ..
ewtb.r.112661.7:15	out of	Superset	I also ordered the Neptune Platter which was awesome ... so this place gets 5 |out| |of| 5 stars .
ewtb.r.114849.1:11	by	Stimulus	Used their service for the first time and was immediately impressed |by| their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested .
ewtb.r.114849.1:20	after	RelativeTime	Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon |after| order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested .
ewtb.r.114849.1:24	to	Purpose	Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed |to| confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested .
ewtb.r.114849.1:3	for	Frequency	Used their service |for| the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested .
ewtb.r.114849.1:32	of	Theme	Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery |of| my gift ( To Split , Croatia ) was as requested .
ewtb.r.114849.1:36	To	Destination	Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery of my gift ( |To| Split , Croatia ) was as requested .
ewtb.r.114849.1:42	as	Circumstance	Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was |as| requested .
ewtb.r.114849.2:13	of	Attribute	The gift itself was exactly as described and pictured in the catalogue and |of| the highest standard .
ewtb.r.114849.2:5	as	Circumstance	The gift itself was exactly |as| described and pictured in the catalogue and of the highest standard .
ewtb.r.114849.2:9	in	Locus	The gift itself was exactly as described and pictured |in| the catalogue and of the highest standard .
ewtb.r.114849.3:3	to	Recipient	Would highly recommend |to| anyone requiring overseas gift delivery .
ewtb.r.114941.3:6	to	Function	They 're our favorite pizza place |to| order from ... and they 're a local , family owned company !
ewtb.r.114941.3:8	from	InitialLocation	They 're our favorite pizza place to order |from| ... and they 're a local , family owned company !
ewtb.r.115029.2:7	from	Donor/Speaker	Definitely not going to purchase a car |from| here .
ewtb.r.115653.3:4	to	Recipient	I would recommend him |to| anyone .
ewtb.r.115653.4:6	to	EndState	I was experiencing severe back pain |to| the point I could barely walk or even bare to sit .
ewtb.r.115653.5:10	to	EndState	I went from a pain scale of 8 - 9 |to| 0 and I was able to run in the Crim just a week later !!
ewtb.r.115653.5:18	in	Locus	I went from a pain scale of 8 - 9 to 0 and I was able to run |in| the Crim just a week later !!
ewtb.r.115653.5:2	from	StartState	I went |from| a pain scale of 8 - 9 to 0 and I was able to run in the Crim just a week later !!
ewtb.r.115653.5:6	of	Value	I went from a pain scale |of| 8 - 9 to 0 and I was able to run in the Crim just a week later !!
ewtb.r.116821.11:2	like	Comparison/Contrast	It tasted |like| I just flew back home .
ewtb.r.116821.11:6	back	Direction	It tasted like I just flew |back| home .
ewtb.r.116821.13:4	for	Reciprocation	I congratulated this establishment |for| doing the research on making NYC pizza because these Scots fcking nailed it .
ewtb.r.116821.13:8	on	Topic	I congratulated this establishment for doing the research |on| making NYC pizza because these Scots fcking nailed it .
ewtb.r.116821.15:12	of	Possessor	They might want to change the name to reflect the new yorkedness |of| the pizza , scrummy yummy sounds gimmicky to me .
ewtb.r.116821.15:20	to	Experiencer	They might want to change the name to reflect the new yorkedness of the pizza , scrummy yummy sounds gimmicky |to| me .
ewtb.r.116821.15:7	to	Purpose	They might want to change the name |to| reflect the new yorkedness of the pizza , scrummy yummy sounds gimmicky to me .
ewtb.r.116821.2:10	to	Destination	Ok I am a New Yorker who has been going |to| school in Oxford , England .
ewtb.r.116821.2:12	in	Location	Ok I am a New Yorker who has been going to school |in| Oxford , England .
ewtb.r.116821.3:7	of	Theme	I thought the UK was completely devoid |of| good NYC style pizza .
ewtb.r.116821.4:11	at	Location	I thought to get a decent pizza the only way was |at| a fancy restaurant , and I have to get a whole pie .
ewtb.r.116821.5:11	to	Destination	I thought I would have to wait until I went home |to| NYC .
ewtb.r.116821.5:7	until	EndTime	I thought I would have to wait |until| I went home to NYC .
ewtb.r.116821.6:12	around	2DArea	Well then I went on a trip to Glasgow and was walking |around| .
ewtb.r.116821.6:7	to	Destination	Well then I went on a trip |to| Glasgow and was walking around .
ewtb.r.116821.7:7	like	Comparison/Contrast	I saw this place and it looked |like| the HOLY GRAIL .
ewtb.r.116821.8:13	by	Value	I knew I had found the real deal , big pies , sold |by| the slice , with the pizzas sitting under the glass in the front .
ewtb.r.116821.8:17	with	Circumstance	I knew I had found the real deal , big pies , sold by the slice , |with| the pizzas sitting under the glass in the front .
ewtb.r.116821.8:21	under	Location	I knew I had found the real deal , big pies , sold by the slice , with the pizzas sitting |under| the glass in the front .
ewtb.r.116821.8:24	in	Location	I knew I had found the real deal , big pies , sold by the slice , with the pizzas sitting under the glass |in| the front .
ewtb.r.117115.11:12	for	Beneficiary	Their worker even cleaned 3 of my windows and changed a lightbulb |for| me .
ewtb.r.117115.11:5	of	Superset	Their worker even cleaned 3 |of| my windows and changed a lightbulb for me .
ewtb.r.117115.12:0	In this day and age	Time	|In| |this| |day| |and| |age| , it is so rare to find a company with such nice workers and such far ranging guarantee policies .
ewtb.r.117115.12:14	with	Attribute	In this day and age , it is so rare to find a company |with| such nice workers and such far ranging guarantee policies .
ewtb.r.117115.13:4	such as	Elements	I rarely write reviews |such| |as| this one , but they certainly deserve anyone 's business !
ewtb.r.117115.2:10	in	Location	I had Hom - Excel replace most of the windows |in| my Tampa residence three years ago .
ewtb.r.117115.2:16	ago	DeicticTime	I had Hom - Excel replace most of the windows in my Tampa residence three years |ago| .
ewtb.r.117115.2:7	of	Superset	I had Hom - Excel replace most |of| the windows in my Tampa residence three years ago .
ewtb.r.117115.3:5	without	Circumstance	The excellent windows have performed |without| any problems , but that 's not why I 'm writing my review .
ewtb.r.117115.4:12	of	Whole	Three weeks ago , burglars tried to gain entry into the rear |of| my home .
ewtb.r.117115.4:2	ago	DeicticTime	Three weeks |ago| , burglars tried to gain entry into the rear of my home .
ewtb.r.117115.4:9	into	Destination	Three weeks ago , burglars tried to gain entry |into| the rear of my home .
ewtb.r.117115.5:5	of	Whole	The intruders slit the screen |of| the window .
ewtb.r.117115.6:18	with	Instrument	Next , they tried to force the window with a pry bar and then to break the window |with| a hammer .
ewtb.r.117115.6:8	with	Instrument	Next , they tried to force the window |with| a pry bar and then to break the window with a hammer .
ewtb.r.117115.8:19	away	Direction	My next - door neighbor heard the noise and turned on a light , thankfully scaring the two miscreants |away| ( they even left their hammer behind ! ) .
ewtb.r.117115.8:26	behind	Location	My next - door neighbor heard the noise and turned on a light , thankfully scaring the two miscreants away ( they even left their hammer |behind| ! ) .
ewtb.r.117115.9:13	for	Function	I called Home - Excel the next day to order a replacement screen |for| the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee .
ewtb.r.117115.9:33	for	Theme	I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me |for| the replacement screen ... that it would be covered under their guarentee .
ewtb.r.117115.9:43	under	State	I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered |under| their guarentee .
ewtb.r.117115.9:8	to	Purpose	I called Home - Excel the next day |to| order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee .
ewtb.r.117893.4:3	of	Whole	Loved every bit |of| it . :)
ewtb.r.118668.3:1	in	Direction	Go |in| and you will not think you are in Chesapeake .
ewtb.r.118668.3:9	in	Location	Go in and you will not think you are |in| Chesapeake .
ewtb.r.118668.4:15	with	Attribute	The setting feels like a Sushi bar in NYC ; small , cozy , but |with| flair .
ewtb.r.118668.4:3	like	Comparison/Contrast	The setting feels |like| a Sushi bar in NYC ; small , cozy , but with flair .
ewtb.r.118668.4:7	in	Location	The setting feels like a Sushi bar |in| NYC ; small , cozy , but with flair .
ewtb.r.118668.6:1	in	Superset	Best |in| HR so far !
ewtb.r.118679.1:11	around	Location	I really want to like this place since I work right |around| the corner .
ewtb.r.118679.1:7	since	Explanation	I really want to like this place |since| I work right around the corner .
ewtb.r.118679.2:10	at	Time	Unfortunately , I 've given it a couple of tries |at| different times and decided to stop going .
ewtb.r.118679.2:8	of	Superset	Unfortunately , I 've given it a couple |of| tries at different times and decided to stop going .
ewtb.r.118718.4:11	to	Purpose	They were accomdating with my scheduled and work with my insurance |to| get payment for the surgery .
ewtb.r.118718.4:14	for	Theme	They were accomdating with my scheduled and work with my insurance to get payment |for| the surgery .
ewtb.r.118718.4:3	with	Theme	They were accomdating |with| my scheduled and work with my insurance to get payment for the surgery .
ewtb.r.118718.4:8	with	Co-Agent	They were accomdating with my scheduled and work |with| my insurance to get payment for the surgery .
ewtb.r.118718.5:11	with	Beneficiary	Dr. Wallen explained the procedure in detail and took his time |with| me .
ewtb.r.118718.5:5	in detail	Extent	Dr. Wallen explained the procedure |in| |detail| and took his time with me .
ewtb.r.118770.1:7	with	Attribute	This place is clean and well run |with| great people .
ewtb.r.118770.4:3	back	Direction	We will be |back| again and again !!
ewtb.r.119026.1:14	into	Destination	Anna Marie and Govind are very sweet people , and the minute you steep |into| their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question of practice .
ewtb.r.119026.1:30	outside	Location	Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay |outside| in the street , whether or not you pick them up again after class is probably a question of practice .
ewtb.r.119026.1:31	in	Location	Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside |in| the street , whether or not you pick them up again after class is probably a question of practice .
ewtb.r.119026.1:43	after	RelativeTime	Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again |after| class is probably a question of practice .
ewtb.r.119026.1:49	of	Instance	Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question |of| practice .
ewtb.r.119026.2:13	of	Whole	A wonderful place , if you want more than just the physical side |of| yoga .
ewtb.r.119026.2:8	than	Scalar/Rank	A wonderful place , if you want more |than| just the physical side of yoga .
ewtb.r.119026.3:4	of	Instance	Give yourself the gift |of| trying this place , to see if it fits you ...
ewtb.r.119026.3:9	to	Purpose	Give yourself the gift of trying this place , |to| see if it fits you ...
ewtb.r.120335.2:9	with	Means	This store is proof that you can fool people |with| good advertising .
ewtb.r.120335.3:21	at best	Extent	They convince lots of people that they are a great store , when in fact they are a very average place |at| |best| , they are just another big box store like the others .
ewtb.r.120335.3:3	of	Superset	They convince lots |of| people that they are a great store , when in fact they are a very average place at best , they are just another big box store like the others .
ewtb.r.120335.3:31	like	Comparison/Contrast	They convince lots of people that they are a great store , when in fact they are a very average place at best , they are just another big box store |like| the others .
ewtb.r.120335.4:16	like	Comparison/Contrast	They offer sales that are n't really sales , mislabeled items that make the item sound |like| a good deal when it is n't , a bad attitude about return items , and on and on .
ewtb.r.120335.4:28	about	Stimulus	They offer sales that are n't really sales , mislabeled items that make the item sound like a good deal when it is n't , a bad attitude |about| return items , and on and on .
ewtb.r.120335.5:0	With	Attribute	|With| higher than average prices to boot !
ewtb.r.120335.5:2	than	Scalar/Rank	With higher |than| average prices to boot !
ewtb.r.120335.7:23	in	Topic	On the other hand , the Richmond Ukrops chain is known for its charity work , its community action , and its interest |in| the public welfare .
ewtb.r.120724.1:7	for	Experiencer	it was a little to high dollar |for| me
ewtb.r.120992.1:13	in	Attribute	Holly - the owner , knows exactly how to make you feel beautiful |in| clothes .
ewtb.r.121342.10:10	in business	State	Hopefully they spice things up or they wo nt be |in| |business| long .
ewtb.r.121342.1:13	by	Agent	We were expecting a great experience , when we recieved a friendly greeting |by| the hosts .
ewtb.r.121342.3:4	of	Superset	The menu had plenty |of| options even for picky eaters .
ewtb.r.121342.3:7	for	Beneficiary	The menu had plenty of options even |for| picky eaters .
ewtb.r.121342.8:6	of	Theme	Everything was bland , completely void |of| any spice or flavor .
ewtb.r.121556.2:21	until	EndTime	I have lived in the UTC La Jolla area for many years , and I never new this salon was here |until| a friend reffered me to see Holly here .
ewtb.r.121556.2:3	in	Location	I have lived |in| the UTC La Jolla area for many years , and I never new this salon was here until a friend reffered me to see Holly here .
ewtb.r.121556.2:9	for	Duration	I have lived in the UTC La Jolla area |for| many years , and I never new this salon was here until a friend reffered me to see Holly here .
ewtb.r.121556.3:4	with	Stimulus	I was very pleased |with| my experience here .
ewtb.r.121556.4:1	of	Superset	All |of| the people were friendly and welcoming .
ewtb.r.121556.9:7	to	Recipient	I deffenitly reccomend this salon and Holly |to| anyone .
ewtb.r.121651.2:12	on	Patient	We would like to thank you for the roofing job you did |on| our home .
ewtb.r.121651.2:6	for	Reciprocation	We would like to thank you |for| the roofing job you did on our home .
ewtb.r.121651.3:3	on	Manner	Everything was done |on| a timely manner and things were cleaned and picked up every day when the crew was done .
ewtb.r.121651.4:8	on	Theme	We also liked the way that Ray checked |on| the job every day .
ewtb.r.121651.7:5	to	Recipient	We have already recommended you |to| some of our friends !
ewtb.r.121651.7:7	of	Superset	We have already recommended you to some |of| our friends !
ewtb.r.121987.1:2	IN	Location	BEST PLACE |IN| AMES
ewtb.r.121987.2:23	in	State	I lived here for two years when the prices were a little lower :) The places are very nice and clean , and |in| great condition !
ewtb.r.121987.2:3	for	Duration	I lived here |for| two years when the prices were a little lower :) The places are very nice and clean , and in great condition !
ewtb.r.121987.3:5	at	ProfessionalAspect	I really enjoyed the staff |at| Wessex , also the manager Sherri was always very nice and helpful .
ewtb.r.121987.5:6	in	Time	The only problem that I had |in| 2 years of living there was that the walls are pretty thin , sometimes I could here my neighbors conversations .
ewtb.r.121987.5:9	of	Whole	The only problem that I had in 2 years |of| living there was that the walls are pretty thin , sometimes I could here my neighbors conversations .
ewtb.r.121987.6:5	to	Recipient	I would recommend these apartments |to| anybody !
ewtb.r.122270.2:0	After	RelativeTime	|After| I had chosen The Fountain Dental Practice they provided a slick and professional service from start to finish .
ewtb.r.122270.2:15	from	StartTime	After I had chosen The Fountain Dental Practice they provided a slick and professional service |from| start to finish .
ewtb.r.122270.2:17	to	EndTime	After I had chosen The Fountain Dental Practice they provided a slick and professional service from start |to| finish .
ewtb.r.122270.3:26	as	Time	Everyone was friendly from the receptionist to the surgeon herself , putting me at my ease and explaining the whole process , both initially and then |as| we went along .
ewtb.r.122270.3:3	from	Comparison/Contrast	Everyone was friendly |from| the receptionist to the surgeon herself , putting me at my ease and explaining the whole process , both initially and then as we went along .
ewtb.r.122270.3:6	to	Comparison/Contrast	Everyone was friendly from the receptionist |to| the surgeon herself , putting me at my ease and explaining the whole process , both initially and then as we went along .
ewtb.r.122270.4:24	to	Experiencer	Surgery visit timings were always made to suit me and not them and they gave me the feeling that I mattered and was important |to| them .
ewtb.r.122270.4:6	to	Purpose	Surgery visit timings were always made |to| suit me and not them and they gave me the feeling that I mattered and was important to them .
ewtb.r.122270.6:16	of	Stimulus	My dental surgeon , Dr. Lucy Nichols is clearly a dental perfectionist and clearly proud both |of| the work she does and the reputation she has established .
ewtb.r.122270.7:11	back	Direction	Everyone was so helpful that I can not wait to go |back| .....
ewtb.r.122514.1:2	to	Function	Decent place |to| stay , I would stay there again .
ewtb.r.122514.2:15	of	Whole	Rooms were clean , plenty of things to do near hotel , and safe part |of| town .
ewtb.r.122514.2:5	of	Superset	Rooms were clean , plenty |of| things to do near hotel , and safe part of town .
ewtb.r.122514.2:9	near	Location	Rooms were clean , plenty of things to do |near| hotel , and safe part of town .
ewtb.r.122564.1:1	outside	Location	good |outside| , bad inside
ewtb.r.122564.1:4	inside	Location	good outside , bad |inside|
ewtb.r.122564.3:8	before	DeicticTime	too many bugs some you even never seen |before| .
ewtb.r.122564.4:2	of	Possessor	the attitude |of| some staff is terrible , did not solve anything only say i can do nothing .
ewtb.r.122882.2:13	with	Theme	Buddakan inevitably attracts the majority of its guests simply because of its association |with| Steven Starr , but that does n't impress me .
ewtb.r.122882.2:5	of	Superset	Buddakan inevitably attracts the majority |of| its guests simply because of its association with Steven Starr , but that does n't impress me .
ewtb.r.122882.2:9	because of	Explanation	Buddakan inevitably attracts the majority of its guests simply |because| |of| its association with Steven Starr , but that does n't impress me .
ewtb.r.122882.3:12	up to par	State	The atmosphere alone deserves 4 stars but , the food was not |up| |to| |par| with the price tag and the reputation the restaurant carries .
ewtb.r.122882.3:15	with	Attribute	The atmosphere alone deserves 4 stars but , the food was not up to par |with| the price tag and the reputation the restaurant carries .
ewtb.r.122882.4:19	like	Comparison/Contrast	The server we had was knowledgeable but he was not as proper as he should have been , acting |like| he was talking to his friends rather than his customers .
ewtb.r.122882.4:23	to	Recipient	The server we had was knowledgeable but he was not as proper as he should have been , acting like he was talking |to| his friends rather than his customers .
ewtb.r.122882.4:27	than	Comparison/Contrast	The server we had was knowledgeable but he was not as proper as he should have been , acting like he was talking to his friends rather |than| his customers .
ewtb.r.122882.6:15	of	Attribute	$ 80 for a dish that has about one small lobster tail and is full |of| filler vegetables !
ewtb.r.122882.6:2	for	Theme	$ 80 |for| a dish that has about one small lobster tail and is full of filler vegetables !
ewtb.r.122882.6:7	about	Approximator	$ 80 for a dish that has |about| one small lobster tail and is full of filler vegetables !
ewtb.r.124163.2:15	by	Agent	I had a severe phobia of attending the dentist until I met and was treated |by| Dr Nelson .
ewtb.r.124163.2:5	of	Stimulus	I had a severe phobia |of| attending the dentist until I met and was treated by Dr Nelson .
ewtb.r.124163.2:9	until	EndTime	I had a severe phobia of attending the dentist |until| I met and was treated by Dr Nelson .
