,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.039383.2:15,@ablodgett,her,her,Recipient,Possessor,"Pros : * Jill , the owner , is very nice and really cares about |her| feedback * Pretty nice atmosphere * Great Dessert * Not your typical veggie selection , I like !"
ewtb.r.042012.2:15,@ablodgett,her,her,SocialRel,Possessor,If ever in Sicily please take the time to visit Anna Maria Jose Mudo and |her| familia .
ewtb.r.042416.5:14,@ablodgett,her,her,SocialRel,Possessor,"The weekend was perfect in every way , in large part to Sue and |her| great staff ."
ewtb.r.062167.5:10,@ablodgett,her,her,Agent,Possessor,Little did I know that I would soon be needing |her| help as well !
ewtb.r.071278.6:10,@ablodgett,her,her,Agent,Possessor,"She is caring , punctual , and very enthusiastic about |her| job !"
ewtb.r.091704.2:4,@ablodgett,her,her,Possessor,Possessor,My wife had taken |her| '07 Ford Fusion in for a routine oil change .
ewtb.r.095040.6:2,@ablodgett,her,her,Gestalt,Possessor,"We appreciated |her| patience , knowledge and kindness !"
ewtb.r.120992.3:8,@ablodgett,her,her,Originator,Possessor,She 's an A + and so are |her| clothes !
ewtb.r.131458.4:32,@ablodgett,her,her,SocialRel,Possessor,I have been extremely pleased with the signs and pop - up banners she has supplied to me over the years - a truly first class family business run by Tina and |her| husband Chris .
ewtb.r.169610.3:0,@ablodgett,Her,her,Gestalt,Possessor,|Her| flexibility and accessibility made for an easy closing .
ewtb.r.181771.5:24,@ablodgett,her,her,Possessor,Possessor,"I took the weekend off and came in and asked for the manager who is Jeff and he remembered her right away even remembered |her| dog , I was a bit shocked that someone would pay that close attention ."
ewtb.r.188548.6:18,@ablodgett,her,her,SocialRel,Possessor,"The person went to go check with the manager , who was sitting at a table chatting with |her| friends who were eating there ."
ewtb.r.188548.7:0,@ablodgett,Her,her,Originator,Possessor,|Her| answer was short and manner rather rude .
ewtb.r.188548.9:15,@ablodgett,her,her,Possessor,Possessor,"The cashier was also short , unapologetic and made me feel as I was wasting |her| time ."
ewtb.r.194153.1:16,@ablodgett,her,her,Whole,Possessor,"Barb does an AMAZING JOB , she is always learning new things on how to use |her| hands and body , to give every person an AWESOME MASSAGE , CALL TODAY AND SCHEDULE YOU MUST SEE HER , YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !"
ewtb.r.206303.5:4,@ablodgett,her,her,Agent,Possessor,I would highly recommend |her| services .
ewtb.r.211797.13:33,@ablodgett,her,her,Possessor,Possessor,"Aside from that little * mystery * , one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of |her| dresses that I was trying on ."
ewtb.r.251755.4:14,@ablodgett,her,her,Gestalt,Possessor,"She is always so busy , too , which is a good indication of |her| talent ."
ewtb.r.260640.3:15,@ablodgett,her,her,OrgRole,Possessor,She basically said if the children getting off the bus are n't paying to enter |her| building she was going to let them wander around the streets .
ewtb.r.310018.3:6,@ablodgett,her,her,Agent,Possessor,You will not be disappointed with |her| work !!
ewtb.r.313126.1:7,@ablodgett,her,her,SocialRel,Possessor,I gave Dr. Rohatgi 2 stars because |her| assistant was very pleasant .
ewtb.r.313126.2:10,@ablodgett,her,her,SocialRel,Possessor,"However , I did not find her very helpful and |her| receptionist was rude ."
ewtb.r.345182.15:4,@ablodgett,her,her,Whole,Possessor,With a smirk on |her| face she told me NO MONEY IS BEING RETURNED and THAT IS THE WAY IT WAS .
ewtb.r.363685.10:4,@ablodgett,her,her,Whole,Possessor,"Finally a chambermaid stuck |her| head around the corner from the top of the stairs and told us sternly that we could not be accommodated until 3 M , no exceptions ."
ewtb.r.014764.1:2,@ablodgett,his,his,SocialRel,Possessor,Daniel and |his| assistant both did a great job .
ewtb.r.018562.5:5,@ablodgett,his,his,Possessor,Possessor,He is very professional in |his| position as a director and yet he still made time to be compassionate for what we were all going through .
ewtb.r.018562.7:6,@ablodgett,his,his,Agent,Possessor,"My grandfather passed away silently in |his| sleep , and my grandmother passed away after a short struggle with cancer ."
ewtb.r.036753.9:24,@ablodgett,his,his,SocialRel,Possessor,"From a moral standpoint , you guys are really gon na take 2,000 bucks from someone that needs that truck to work and support |his| family when you know it s just a piece of scrap metal ?"
ewtb.r.048363.8:16,@ablodgett,his,his,Agent,Possessor,"Five minutes before my initial lesson , I got a call from Gerry advising me of |his| arrival and to come down as soon as I was ready ."
ewtb.r.055976.5:15,@ablodgett,his,his,OrgRole,Possessor,I sincerely wonder if the doctor has a clue about what is going on within |his| practice .
ewtb.r.072507.1:16,@ablodgett,his,his,ProfessionalAspect,Possessor,"Dave is a patient and methodical teacher , who has a great ear and sensitivity for |his| students ' passion and the direction they want their lessons to take ."
ewtb.r.072507.2:18,@ablodgett,his,his,Gestalt,Possessor,"Also , he loves teaching so much , his price is unbeatable , but that does not change |his| level of skill ."
ewtb.r.072507.2:8,@ablodgett,his,his,Gestalt,Possessor,"Also , he loves teaching so much , |his| price is unbeatable , but that does not change his level of skill ."
ewtb.r.081934.3:12,@ablodgett,his,his,Possessor,Possessor,I work with him and since past 6 years he is hosting |his| websites to Liquidweb .
ewtb.r.081934.4:40,@ablodgett,his,his,Beneficiary,Possessor,"As I have gone through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in |his| whole hosting ."
ewtb.r.086839.13:19,@ablodgett,his,his,Whole,Possessor,"At no time during the conversation did the words , "" I 'm sorry "" ever come out of |his| mouth ."
ewtb.r.101972.8:9,@ablodgett,his,his,Agent,Possessor,"I had to ask the greeter , he explained |his| reasons with broken English ."
ewtb.r.101972.9:5,@ablodgett,his,his,Agent,Possessor,I could not understand any |his| reasons .
ewtb.r.106150.4:13,@ablodgett,his,his,SocialRel,Possessor,They are preparing my older son for kindergarten and looks forward to seeing |his| teacher and friends every day .
ewtb.r.115566.3:3,@ablodgett,his,his,SocialRel,Possessor,Dr. Dorn is |his| backup .
ewtb.r.118718.5:9,@ablodgett,his,his,Possessor,Possessor,Dr. Wallen explained the procedure in detail and took |his| time with me .
ewtb.r.122882.4:24,@ablodgett,his,his,SocialRel,Possessor,"The server we had was knowledgeable but he was not as proper as he should have been , acting like he was talking to |his| friends rather than his customers ."
ewtb.r.122882.4:28,@ablodgett,his,his,SocialRel,Possessor,"The server we had was knowledgeable but he was not as proper as he should have been , acting like he was talking to his friends rather than |his| customers ."
ewtb.r.124163.3:7,@ablodgett,his,his,Agent,Possessor,He instantaneously put me at ease and |his| ongoing treatments have been absolutely pain free .
ewtb.r.124163.5:14,@ablodgett,his,his,Experiencer,Possessor,"In addition to the core treatment , Dr Nelson has impressed me further with |his| concern and interest in the well - being of his patients - his dental work underpinned by a strong duty of care to every patient ."
ewtb.r.124163.5:24,@ablodgett,his,his,SocialRel,Possessor,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest in the well - being of |his| patients - his dental work underpinned by a strong duty of care to every patient ."
ewtb.r.124163.5:27,@ablodgett,his,his,Agent,Possessor,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest in the well - being of his patients - |his| dental work underpinned by a strong duty of care to every patient ."
ewtb.r.148971.17:18,@ablodgett,his,his,Gestalt,Possessor,"If you want a doctor who will lie to you and say he will operate and then change |his| mind , and not know what he is talking about when he recommends procedures at other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one for you ."
ewtb.r.148971.2:30,@ablodgett,his,his,Originator,Possessor,"I am not sure about the quality of the other doctors there , but i do know from personal experience that Dr. Christopher T. Strzalka is not a man of |his| word , and is also very CRUEL AND UNCARING !!"
ewtb.r.154157.3:16,@ablodgett,his,his,Agent,Possessor,"He was less than half of the price of the cheapest quote we got , and |his| work was top notch ."
ewtb.r.162422.14:5,@ablodgett,his,his,Gestalt,Possessor,I finally alerted him to |his| rudeness .
ewtb.r.162422.5:3,@ablodgett,his,his,Gestalt,Possessor,Somewhere in between |his| rudeness he asked if we smoked .
ewtb.r.165032.2:24,@ablodgett,his,his,SocialRel,Possessor,We went through six photographers to find the right photographers that would represent our firm in the light we wished to and Michael and |his| team made that happen .
ewtb.r.170650.6:5,@ablodgett,his,his,Possessor,Possessor,"At the front door of |his| office , I nearly turned around ."
ewtb.r.170650.8:3,@ablodgett,his,his,SocialRel,Possessor,Doctor Gonzales and |his| entire staff are the most professional people I have ever dealt with .
ewtb.r.181748.8:8,@ablodgett,his,his,Gestalt,Possessor,"After that , I just tried to ignore |his| lack of professionalism and test drive the car ."
ewtb.r.185045.7:5,@ablodgett,his,his,Agent,Possessor,We highly recommend Joe and |his| wasp removal service to individual home owners and condos .
ewtb.r.187266.10:12,@ablodgett,his,his,Originator,Possessor,The affordable rent makes it possible for an inspired chef to serve |his| high quality fare at affordable prices !
ewtb.r.192737.2:13,@ablodgett,his,his,Originator,Possessor,"Nigel from Nidd Design has always provided a first class service , from |his| advice and professionalism to the quality of his design drawings and planning applications ."
ewtb.r.192737.2:21,@ablodgett,his,his,Creator,Possessor,"Nigel from Nidd Design has always provided a first class service , from his advice and professionalism to the quality of |his| design drawings and planning applications ."
ewtb.r.192737.3:0,@ablodgett,His,his,Experiencer,Possessor,"|His| knowledge and expertise help smooth the way with any planning application , ensuring compliance with the building regulations ."
ewtb.r.193257.2:6,@ablodgett,his,his,OrgRole,Possessor,We have utilized Mr. Pozza and |his| firm twice now in our family and both times have been very pleased .
ewtb.r.194316.2:31,@ablodgett,his,his,SocialRel,Possessor,"OMG .. make sure to book a reservation , as this magical place is packed ( in a nice way ) I love that the owner walks around and cares how |his| customers feel about their food ."
ewtb.r.201156.3:10,@ablodgett,his,his,Possessor,Possessor,Marek Dzida the owner and photographer puts whole heart in |his| business - If you are into old fashion ( Not Digital ) quality photography this is best place in Long Beach as I think not many folks can do affordable traditional photos anymore I know Marek personaly and I will always recommend him
ewtb.r.210875.3:21,@ablodgett,his,his,Possessor,Possessor,He seemed to understand how important it was for us to make sure the whole house was sprayed so he took |his| time .
ewtb.r.217542.2:63,@ablodgett,HIS,his,Possessor,Possessor,"I FUCKING HATE THIS PLACE EVERY TIME i GO THIS HOT CHICK SHOWS UP AND i MEAN REALLY HOT BUT SHE IS LIKE REAAAALLY DUMB AND THEN THEIR IS THIS OTHER CHICK THAT IS REALY UGLY BUT SHE IS LIKE SUPER SMART SHE COULD BE A SCIENTIST , BUT THEN THEIR IS THIS STONER WHO ALWAYS COMES HERE HIGH AND HE ALWAYS BRINGS |HIS| FUCKING DOG WHO IS SO HIGH FROM THE SECOND HAND SMOKE I THINK HE IS TRYING TO TALK ."
ewtb.r.224906.6:29,@ablodgett,His,his,Possessor,Possessor,"The only thing I found edible were the potato wedges , I finally gave up , he kept trying - he found the fried wantons to be OK - |His| Mongolian bowl was awful ."
ewtb.r.229410.3:29,@ablodgett,his,his,Gestalt,Possessor,"He was referred to me by a friend , who did n't have the best experience with Ted , but said that Ted was able to make up for |his| lack of preparedness at the end ."
ewtb.r.230176.2:3,@ablodgett,his,his,SocialRel,Possessor,Kusal Goonewardena and |his| team of Physios are unbelievable !
ewtb.r.241739.4:8,@ablodgett,his,his,Possessor,Possessor,I have terrible hair and he really takes |his| time to make it look right .
ewtb.r.263630.6:10,@ablodgett,his,his,SocialRel,Possessor,"Not only that , but he told us , via |his| manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids ."
ewtb.r.263630.6:42,@ablodgett,his,his,SocialRel,Possessor,"Not only that , but he told us , via his manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though |his| manager did nothing the first time to stop the kids ."
ewtb.r.267793.3:12,@ablodgett,his,his,Gestalt,Possessor,"He did nt prescribe pain meds or other drugs , he used |his| bodytalk method which is unusual but the results are undeniable ."
ewtb.r.275595.2:17,@ablodgett,his,his,Experiencer,Possessor,this dentist want to pull the tooth out always .. always wants to do the cheapest for |his| benefit .. not unless he knows you .
ewtb.r.278775.10:18,@ablodgett,his,his,Gestalt,Possessor,"Finally , it must be said that Stuart is a fantastic person to work with , because of |his| solid strategies and equally as importantly because he is a genuinely good person and a great communicator ."
ewtb.r.290594.5:7,@ablodgett,his,his,Possessor,Possessor,It 's unfortunate that bmil believed that |his| ' perfect ' dog was not given the right opportunity to prove himself .
ewtb.r.311987.5:15,@ablodgett,his,his,Causer,Possessor,He took it back and they would not honor a warranty and said it was |his| fault because of his shoes ??
ewtb.r.311987.5:19,@ablodgett,his,his,Possessor,Possessor,He took it back and they would not honor a warranty and said it was his fault because of |his| shoes ??
ewtb.r.332068.2:0,@ablodgett,his,his,OrgRole,Possessor,|his| clinic is very very dirty he is a real disaster to go totally not organized for every step he take .
ewtb.r.332105.3:19,@ablodgett,his,his,OrgRole,Possessor,"He was prompt , knowledgable , friendly , clean and just an overall great guy who obviously cares about |his| business ."
ewtb.r.332105.4:3,@ablodgett,his,his,Agent,Possessor,I will reccommend |his| services however / whenever possible !
ewtb.r.339176.6:17,@ablodgett,his,his,SocialRel,Possessor,The owner is a pleasant guy and I would trust my car with him or any of |his| workers .
ewtb.r.354336.2:8,@ablodgett,his,his,SocialRel,Possessor,"This French born , French trained chef and |his| creative partners offer a taste fresh , locally sourced , fabulously prepared food in the most unlikely of locations ."
ewtb.r.356920.2:5,@ablodgett,his,his,SocialRel,Possessor,Dr. Obina told me that |his| office closed at noon and that I should call him on Monday .
ewtb.r.359014.4:14,@ablodgett,his,his,Agent,Possessor,The work on my car was done quickly and I felt I could trust |his| work .
ewtb.r.359014.6:3,@ablodgett,his,his,OrgRole,Possessor,I highly recommend |his| shop .
ewtb.r.156953.3:13,@ablodgett,home,,Direction,,I go to school in the area and usually wait until I go |home| to get my hair cut .
ewtb.r.294081.7:13,@ablodgett,HOME,,Direction,,IT S NOT A BIG DEAL BUT I HAD TO TAKE MY SALAD |HOME| BECAUSE THEY FORGOT TO BRING IT .
ewtb.r.363685.14:11,@ablodgett,home,,Direction,,"If they think you 've taken a soda from your room |home| with you , they will charge you $ 1.50 per can ."
ewtb.r.369087.6:8,@ablodgett,home,,Direction,,The service department even gave me a ride |home| and picked me up when my car was finished .
ewtb.r.007403.2:16,@ablodgett,in,,Location,,"Hello my name is Vera and I 'm writing a review about my own counseling practice |in| Bellevue , WA. and in Renton WA ."
ewtb.r.007403.2:21,@ablodgett,in,,Location,,"Hello my name is Vera and I 'm writing a review about my own counseling practice in Bellevue , WA. and |in| Renton WA ."
ewtb.r.008585.5:11,@ablodgett,in,,?Location,,"They tracked down the only tire that fit my BMW 330i |in| Murfreesboro within minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire ."
ewtb.r.008585.8:32,@ablodgett,in,,Location,,"It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy |in| Nashville 's price for putting on the other rear tire ."
ewtb.r.010378.3:22,@ablodgett,in,,Theme,,"During the session , he demanded to have my physical address , which I 've always kept private as I am enrolled |in| a witness protection program ."
ewtb.r.012047.3:10,@ablodgett,in,,Theme,,These guys know what they 're doing and helped me |in| all phases of our project .
ewtb.r.018562.5:4,@ablodgett,in,,?ProfessionalAspect,,He is very professional |in| his position as a director and yet he still made time to be compassionate for what we were all going through .
ewtb.r.018562.7:5,@ablodgett,in,,State,,"My grandfather passed away silently |in| his sleep , and my grandmother passed away after a short struggle with cancer ."
ewtb.r.020851.2:4,@ablodgett,in,,Location,,"Before you buy ANYTHING |in| NY , make sure you stop by Jack -s first ."
ewtb.r.020992.3:15,@ablodgett,in,,Location,,"At 3:15 am on night # 2 , the fire alarm and strobe light activated |in| my room ."
ewtb.r.026883.15:13,@ablodgett,in,,?Location,,I hope the owners and employees of this store have broken bedroom suites |in| their homes and furniture sitting in someone 's warehouse .
ewtb.r.026883.15:19,@ablodgett,in,,?Location,,I hope the owners and employees of this store have broken bedroom suites in their homes and furniture sitting |in| someone 's warehouse .
ewtb.r.035726.2:10,@ablodgett,in,,Topic,,Dr. Aster and her team have been a strong advocate |in| the health of both my daughters .
ewtb.r.035899.2:2,@ablodgett,in,,Direction,,We walked |in| to pick our little man at 10 minutes to closing and heard laughter from kids and the staff .
ewtb.r.035899.4:18,@ablodgett,in,,Direction,,Their sense of humour and calmness when dealing with the little ones amazes me every time I walk |in| .
ewtb.r.036133.12:3,@ablodgett,in,,Manner,,"I had paid |in| cash , and he said he had no receipt / record of my purchase ."
ewtb.r.042012.2:2,@ablodgett,in,,Location,,If ever |in| Sicily please take the time to visit Anna Maria Jose Mudo and her familia .
ewtb.r.042416.3:2,@ablodgett,in,,Location,,We were |in| Santa Fe for a special event and our hosts rented out the El Paradero for all their guests to stay at .
ewtb.r.042530.2:2,@ablodgett,in,,Location,,"I live |in| the neighborhood and this place is one of my favorites for a tasty , quick and inexpensive meal ."
ewtb.r.042530.4:12,@ablodgett,in,,Direction,,"Fast and friendly service , they know my order when I walk |in| the door !"
ewtb.r.043020.2:11,@ablodgett,in,,Time,,B&B came out very quickly to give us our quote back |in| June .
ewtb.r.043020.4:5,@ablodgett,in,,Time,,"Our fence was installed quickly |in| August and they had their money and left saying "" Workmanship is guaranteed for a year ! "" ."
ewtb.r.043020.5:18,@ablodgett,in,,Direction,,Within a week we noticed one of the boards on our gate splitting where a nail had gone |in| .
ewtb.r.048363.18:16,@ablodgett,in,,Circumstance,,"To my friend , thank you for your recommendation ... you were true to your words |in| saying Gerry is a "" Saintly Instructor ... Absolutely Simple the Best Instructor and Best Driving school there is !"
ewtb.r.048363.9:14,@ablodgett,in,,Location,,My heart pounded as I walked down and pounded even faster upon seeing Gerry |in| an SUV - Lexus !
ewtb.r.053248.3:4,@ablodgett,in,,Circumstance,,"The truth is , |in| my and my dining partners ' experience , this is a fine little restaurant with some unique food ."
ewtb.r.055207.3:52,@ablodgett,in,,Location,,"But I had my cat spayed through their reduced / free spay and neuter program and the vet they sent us to was first of all a hour and a half away , and 4 days later we had to bring them to our normal vet because the vets at the place |in| wisconsin did a crappy job and they got infections ."
ewtb.r.059005.3:2,@ablodgett,in,,Direction,,I go |in| about every morning to get bagels for myself or my co-workers and the employees at Max 's are great !!
ewtb.r.071650.7:14,@ablodgett,in,,Location,,Back to my poor rating - I was excepted to medical school and went |in| to cancel my membership as I was told I could do since I was moving away .
ewtb.r.072507.4:0,@ablodgett,In,,Duration,,"|In| just 2 - 3 focused lessons , I 'm already now capable of picking up new songs off YouTube guitar how to videos and am even writing my own orginals with confidence !"
ewtb.r.074896.5:2,@ablodgett,in,,Location,,"I came |in| for alterations ( free , by the way ) and told her about a stain I had on my new leather purse ."
ewtb.r.077298.2:6,@ablodgett,in,,Location,,I 'm not interested in shopping |in| a place with people like her ... she refused to sell me the item at its marked price even after admitting they had made a mistake .
ewtb.r.080178.2:12,@ablodgett,in,,Location,,Allen Tire was recommended by friend after my having bad tire experiences |in| Temecula .
ewtb.r.081796.7:7,@ablodgett,in,,?Activity,,Exile is environmentally conscious and involved heavily |in| our community .
ewtb.r.081934.4:39,@ablodgett,in,,Duration,,"As I have gone through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues |in| his whole hosting ."
ewtb.r.083563.1:12,@ablodgett,in,,?Location,,We would like to thank our emergency plumbers who visted our shop |in| Morningside Road today .
ewtb.r.085980.5:10,@ablodgett,in,,Location,,"After our meal , our server found us a table |in| the jazz club where we were informed it would be another $ 10 / person to stay and listen to the band , despite the fact we had just finished a dinner there and were intending to enjoy their drink list ."
ewtb.r.086839.14:5,@ablodgett,in,,?Superset,,"I , nor anyone else |in| my family , will ever go to Sun Devil Auto again ."
ewtb.r.095040.4:17,@ablodgett,in,,Attribute,,"Stephanie 's knowledge of the market and properties in our price range , made us feel secure |in| our decision to buy when we did ."
ewtb.r.095040.4:8,@ablodgett,in,,Locus,,"Stephanie 's knowledge of the market and properties |in| our price range , made us feel secure in our decision to buy when we did ."
ewtb.r.097548.1:19,@ablodgett,in,,Location,,"The company gets busy but you never have to wait long because they ARE orginizied , so you are |in| , out , and paid well for your scrap"
ewtb.r.100592.2:5,@ablodgett,in,,Duration,,yep they fixeded my thumpstar |in| 1 day .
ewtb.r.101972.6:20,@ablodgett,in,,Direction,,"However , we waited and waited and in the mean time , saw 4 groups of people simply just paraded |in| without signing there names ."
ewtb.r.105518.3:5,@ablodgett,in,,Activity,,The staff was very helpful |in| finding the right dog for me and the care my pup received was outstanding .
ewtb.r.110441.15:25,@ablodgett,in,,Stimulus,,Bottom line is that when it 's a small privatly owned resturant like this is you can tell that the owners and employees take pride |in| their product and service .
ewtb.r.110441.3:12,@ablodgett,in,,Location,,I was just in last night and had a chance to dine |in| their new dining room .
ewtb.r.110441.3:3,@ablodgett,in,,Location,,I was just |in| last night and had a chance to dine in their new dining room .
ewtb.r.110441.6:29,@ablodgett,in,,Location,,"Well I was in for a treat when I was greeted by the friendly girls at the counter who asked if my wife and I would like to sit |in| their "" new "" dining room ."
ewtb.r.112579.1:4,@ablodgett,in,,Location,,My favorite cuban cafe |in| Orlando
ewtb.r.117115.2:10,@ablodgett,in,,Location,,I had Hom - Excel replace most of the windows |in| my Tampa residence three years ago .
ewtb.r.119026.1:31,@ablodgett,in,,?Location,,"Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside |in| the street , whether or not you pick them up again after class is probably a question of practice ."
ewtb.r.120335.7:23,@ablodgett,in,,Topic,,"On the other hand , the Richmond Ukrops chain is known for its charity work , its community action , and its interest |in| the public welfare ."
ewtb.r.121987.5:6,@ablodgett,in,,Time,,"The only problem that I had |in| 2 years of living there was that the walls are pretty thin , sometimes I could here my neighbors conversations ."
ewtb.r.124163.5:18,@ablodgett,in,,Topic,,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest |in| the well - being of his patients - his dental work underpinned by a strong duty of care to every patient ."
ewtb.r.124552.2:4,@ablodgett,in,,Location,,My favorite so far |in| Bellevue .
ewtb.r.128168.4:15,@ablodgett,in,,Time,,I was in two weeks ago and had the worst pedicure that I have had |in| my life .
ewtb.r.128168.4:2,@ablodgett,in,,DeicticTime,,I was |in| two weeks ago and had the worst pedicure that I have had in my life .
ewtb.r.128168.6:4,@ablodgett,in,,Location,,I put my foot |in| the water and it was cool .
ewtb.r.133601.3:10,@ablodgett,in,,Time,,"I wish I had you as my dentist early on |in| my life - maybe my teeth would have been a lot better then they are now , However I am glad you are my dentist now ."
ewtb.r.133601.6:3,@ablodgett,in,,Activity,,You are meticulous |in| your work and it shows in my smile .
ewtb.r.133601.6:9,@ablodgett,in,,Manner,,You are meticulous in your work and it shows |in| my smile .
ewtb.r.135800.4:10,@ablodgett,in,,Location,,"However , they would never drive the car with me |in| it to prove their findings ."
ewtb.r.138249.2:14,@ablodgett,in,,Location,,I have use them four times for fixing items from pushing out a dent |in| a bumper to fixing the fender on my beloved Miata .
ewtb.r.142081.3:9,@ablodgett,in,,Attribute,,I shopped it around and they were extremely competitive |in| pricing and also added nitrogen to my tires which should extend the life and get me better gas mileage .
ewtb.r.150192.1:9,@ablodgett,in,,Location,,There are so many wonderful great places to dine |in| houston .... do n't . waste your time here .
ewtb.r.156953.3:4,@ablodgett,in,,Location,,I go to school |in| the area and usually wait until I go home to get my hair cut .
ewtb.r.156953.8:22,@ablodgett,in,,State,,Usually they blow dry it out and i have to wait until i wash it to see what it will look like |in| its natural state .
ewtb.r.156953.9:20,@ablodgett,in,,Manner,,But she did a fabulous job letting me know what she was doing at all times and styled my hair |in| a way i could do it at home .
ewtb.r.159371.2:5,@ablodgett,in,,Location,,me and my dad where |in| NJ for a kc chiefs ( my home team ) vs the NY jets and for game 4 of the world series .
ewtb.r.164805.10:14,@ablodgett,in,,Time,,"I have purchased over 15 vehicles ( cars , rvs , and boats ) |in| my lifetime and I have to say the experience with Michael and Barrett Motor Cars of San Antonio was one of the best ."
ewtb.r.164937.4:8,@ablodgett,in,,Location,,One of my top 5 places to eat |in| Baltimore .
ewtb.r.165018.4:25,@ablodgett,in,,Location,,"I was then moved to another room around the back where the room was dirty , the shower was dirty with other people s hair |in| it , the toilet seat was peeling and rough and the bathroom was full of mould ."
ewtb.r.170650.9:5,@ablodgett,in,,Attribute,,"They made me feel confident |in| what they would do , and treated me like a member of their own family ."
ewtb.r.181771.5:7,@ablodgett,in,,Direction,,"I took the weekend off and came |in| and asked for the manager who is Jeff and he remembered her right away even remembered her dog , I was a bit shocked that someone would pay that close attention ."
ewtb.r.182354.2:2,@ablodgett,in,,Location,,"Prominent Builders |in| New Jersey are one the best building contractors , I was referred to them by my friend , I am so glad I used them for my Home renovation , and addition ."
ewtb.r.186235.1:9,@ablodgett,in,,Activity,,"wow , the representative went way above and beyond |in| helping me with my account set up ."
ewtb.r.187266.9:14,@ablodgett,in,,Location,,I am a business owner in downtown Saratoga Springs and wish this restaurant was |in| our town !
ewtb.r.187266.9:5,@ablodgett,in,,Location,,I am a business owner |in| downtown Saratoga Springs and wish this restaurant was in our town !
ewtb.r.190256.2:7,@ablodgett,in,,Location,,I had a problem with the tile |in| my bathroom coming apart .
ewtb.r.190256.5:5,@ablodgett,in,,Duration,,They had the work done |in| about half the time quoted which made me and my wife extremely happy .
ewtb.r.193257.2:10,@ablodgett,in,,?Superset,,We have utilized Mr. Pozza and his firm twice now |in| our family and both times have been very pleased .
ewtb.r.194316.2:16,@ablodgett,in,,Manner,,"OMG .. make sure to book a reservation , as this magical place is packed ( |in| a nice way ) I love that the owner walks around and cares how his customers feel about their food ."
ewtb.r.194316.6:30,@ablodgett,in,,?Location,,I just discovered her has a place right near my work ( Color me Phat ) If you are looking for a romatic place with the best food and service |in| the valley Giovanni Ristorante should be your number 1 + 2 choice .
ewtb.r.194830.2:5,@ablodgett,in,,Location,,The First time I walked |in| there with my teacup chihuahua puppy I knew I 'd be here a lot .
ewtb.r.194830.3:19,@ablodgett,in,,State,,"Pets Discount has lovely employees , a wonderful grooming service , and everything I need to keep my dog |in| tip top condition !"
ewtb.r.201156.3:29,@ablodgett,in,,Location,,Marek Dzida the owner and photographer puts whole heart in his business - If you are into old fashion ( Not Digital ) quality photography this is best place |in| Long Beach as I think not many folks can do affordable traditional photos anymore I know Marek personaly and I will always recommend him
ewtb.r.209465.2:19,@ablodgett,in,,Location,,"I have been eating Pho for almost my entire life and I 've always gone to the Pho places |in| south philly and off the boulevard and even the other one in chinatown , but when i tried this pho place , it blew the other pho houses away !!"
ewtb.r.209465.2:31,@ablodgett,in,,Location,,"I have been eating Pho for almost my entire life and I 've always gone to the Pho places in south philly and off the boulevard and even the other one |in| chinatown , but when i tried this pho place , it blew the other pho houses away !!"
ewtb.r.211797.1:8,@ablodgett,in,,Location,,MUST READ - Do not waste your time |in| this store .
ewtb.r.211797.22:20,@ablodgett,in,,Attribute,,I felt very much like Wedding Gallery was being dishonest and I would n't trust them to lace me up |in| another gown let alone trust them with the gown I will wear on the most important day of my life .
ewtb.r.211933.2:11,@ablodgett,in,,Location,,Seth provides deep tissue massage which has significantly reduced the pain |in| my neck and shoulders and added flexibility and movement back to the area .
ewtb.r.216456.10:0,@ablodgett,In,,Locus,,"|In| one of the emails I attached the letter from the Vet 's that expressed their sympathy , this hotel did nothing ."
ewtb.r.216456.12:21,@ablodgett,in,,Time,,"I am sure this is a good place to stay from reading the other reviews , but if something unexpected happens |in| your life , they will not care ."
ewtb.r.217359.7:16,@ablodgett,in,,Locus,,I personally provided the request on four separate occasions and they claim there is a glitch |in| their systems ?
ewtb.r.217542.3:4,@ablodgett,IN,,Location,,ANYWAY WE DRIVE AROUND |IN| MY VAN AND SOLVE MYSTERYS AND SHIT
ewtb.r.225632.6:24,@ablodgett,in,,Superset,,"For those who care , a good proportion of the my class went on to 4 - year colleges , many of them ranked |in| the top 50 of US News ."
