sent ID,token,v1,v2 Scene Role,v2 Prep Function,gov,note,
ewtb.r.280663.5:7,thing,`,,,,,"We never had to worry about a |thing| , and they led the way the whole time ."
ewtb.r.349020.9:12,thing,`,,,,,Who knows how much they want me to pay to fix this |thing| .
ewtb.r.363685.25:4,thing,`,,,,,I put the coffee |thing| in hot water and settled for a cup of weak coffee .
ewtb.r.396880.6:5,thing,`,,,,,We could hear every single |thing| that happened outside like it was inside our room .
ewtb.r.070730.1:16,things,`,,,,,"We decided to try this place last night because we noticed that it had some interesting |things| on the menu aside from the usual rolls -- live scallop sashimi , duck breast nigiri with foie gras , panko mussels -- but none of these were particularly great or worth the sticker price ."
ewtb.r.071278.2:12,things,`,,,,,I ca n't say enough good things about Karla and the wonderful |things| she has done for me and my dog Gracee .
ewtb.r.071278.2:6,things,`,,,,,I ca n't say enough good |things| about Karla and the wonderful things she has done for me and my dog Gracee .
ewtb.r.071518.3:16,things,`,,,,,The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other |things| .
ewtb.r.121342.10:3,things,`,,,,,Hopefully they spice |things| up or they wo nt be in business long .
ewtb.r.121651.3:8,things,`,,,,,Everything was done on a timely manner and |things| were cleaned and picked up every day when the crew was done .
ewtb.r.122514.2:6,things,`,,,,,"Rooms were clean , plenty of |things| to do near hotel , and safe part of town ."
ewtb.r.148971.7:10,things,`,,,,,Two months and at least two months are totally different |things| .
ewtb.r.160073.16:25,things,`,,,,,So anyone looking for an Excellent night out for Chinese or maybe just lunch should stop in and try it because I promise you 2 |things| --- You wo n't regret it !!
ewtb.r.194153.1:11,things,`,,,,,"Barb does an AMAZING JOB , she is always learning new |things| on how to use her hands and body , to give every person an AWESOME MASSAGE , CALL TODAY AND SCHEDULE YOU MUST SEE HER , YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !"
ewtb.r.220214.12:5,things,`,,,,,They do n't do certain |things| that are really annoying about other offices .
ewtb.r.220214.4:29,things,`,,,,,I feel that the way some doctor s offices work around here is a little bit absurd so I 'm happy that these guys do n't do those two |things| in particlular .
ewtb.r.221664.4:16,things,`,,,,,I asked why so high and they said it was due to the labor of moving |things| out of the way .
ewtb.r.221664.5:1,things,`,,,,,Those |things| ended up being a windsheild washer fluid tank ( 1 screw ) and the air filter canister ( 4 spring clips ) .
ewtb.r.231203.6:24,things,`,,,,,"However , the bartenders / waitresses definately need to be re-trained ( if they ever had any to begin with ) and learn two |things| : only chat with customers when other customers are not impatiently waiting and to look around more often to see if people are waiting ."
ewtb.r.247226.3:5,things,`,,,,,You do NOT learn the |things| you were promised .
ewtb.r.280663.6:3,things,`,,,,,"They asked us |things| that we would have never have thought of , and took extra time to meet with us when we needed it before the wedding ."
ewtb.r.331662.8:15,things,`,,,,,Every time we go they seem to have a different ingredient or two which keeps |things| interesting .
ewtb.r.334388.2:24,things,`,,,,,I 'm certainly no expert on asian food in fact not even a lover of Vietnamese food but I wanted to try the real |things| here at A Dong .
ewtb.r.342811.13:23,things,`,,,,,"The staff was friendly , especially the front desk female supervisor , and seemed to want to help , but too many unusual |things| happened to make us want to stay there again ."
ewtb.r.349020.5:13,things,`,,,,,I admit that I should have paid attention to this kind of little |things| while test drive .
ewtb.r.359014.5:5,things,`,,,,,I have nothing but fantastic |things| to say .
ewtb.r.365630.3:6,things,`,,,,,"He took the time to explain |things| to me about my computer , i would recommend you go to him ."
ewtb.r.374344.4:4,things,`,,,,,"If you enjoy amazing |things| , you must go to World 's Finest Donair ."
ewtb.r.377347.11:35,things,`,,,,,"By the way , Salmagundi ( the store name ) means something like smorgasbord ; potpourri ; motley ; variety ; mixed bag ; miscellaneous assortment ; mixture , a variety of many kinds of |things| ."
ewtb.r.377347.3:11,things,`,,,,,I could have stayed all day and not seen all the |things| .
ewtb.r.377347.4:10,things,`,,,,,I am doing origami jewelry and found exactly the right |things| for earrings and got many other ideas there too .
ewtb.r.398243.4:4,things,`,,,,,I had hear great |things| about Phet and G&G Automotive so I decided to give him a try .
ewtb.r.272836.5:0,THX,`,`d,,,,|THX| :-)
ewtb.r.068009.2:8,to,`,`i,,,,Dallas Criminal Attorney Peter Barrett is absolutely committed |to| vigorously supporting your rights and achieving a successful outcome .
ewtb.r.120724.1:4,to,`,`r,,,,it was a little |to| high dollar for me
ewtb.r.371300.5:7,to go,`,Manner,,,,I was told to take my coffee |to| |go| if I wanted to finish it .
ewtb.r.009596.3:10,too,`,`r,,,,"The salespeople are never available , the lines are always |too| long , and all the people want is a sale ."
ewtb.r.363428.4:1,too much trouble,`,,,,,"Nothing |too| |much| |trouble| for Ian , thanks for a great stay ."
ewtb.r.090643.2:3,top notch,`,`j,,,,This place is |top| |notch| and highly affordable !
ewtb.r.048363.18:12,true to words,`,,,,,"To my friend , thank you for your recommendation ... you were |true| |to| your |words| in saying Gerry is a "" Saintly Instructor ... Absolutely Simple the Best Instructor and Best Driving school there is !"
ewtb.r.326649.1:0,Trust The Midas Touch,`,,,,,|Trust| |The| |Midas| |Touch|
ewtb.r.306740.1:3,tutoring,`,,,,,Miami 's best |tutoring| service !
ewtb.r.232157.6:10,types,`,,,,,"Even though we were only supposed to have those specific |types| of pizza , when guests asked for a different type , it was brought out with no charge to us !"
ewtb.r.008635.3:2,value,`,,,,,Interesting good |value| wine list to .
ewtb.r.187266.12:24,wait,`,,,,,I rrly seek the cehf out to introduce myself -- but the second time we went -- i made a point of asking our |wait| person to introduce my friend and myself to the chef to tell him just how good our meals were .
ewtb.r.211797.12:2,waste of TIME,`,,,,,What a |waste| |of| |TIME| .
ewtb.r.121651.4:4,way,`,,,,,We also liked the |way| that Ray checked on the job every day .
ewtb.r.156953.9:22,way,`,,,,,But she did a fabulous job letting me know what she was doing at all times and styled my hair in a |way| i could do it at home .
ewtb.r.365154.4:2,way,`,,,,,"After the |way| she spoke to me on my last visit , I will not be returning !!"
ewtb.r.287360.7:0,Way to go,`,,,,,|Way| |to| |go| !
ewtb.r.080221.11:0,Well done,`,,,,,|Well| |done| to Brendan and the team !
ewtb.r.080221.13:0,Well done,`,,,,,|Well| |done| to Jason and the team !
ewtb.r.080221.9:0,Well done,`,,,,,|Well| |done| to Anthony and the team !
ewtb.r.326112.5:0,Well done,`,,,,,|Well| |done| .
ewtb.r.043020.10:2,went so far as to say,`,,,,,"She even |went| |so| |far| |as| |to| |say| "" You r calling about one board ? """
ewtb.r.048201.4:13,when it came to,`,,,,,"We tried 4 different style of donuts , they were all the same |when| |it| |came| |to| quality ."
ewtb.r.035993.1:8,while,`,,,,,"They have fresh flowers , lasted a long |while| in the vase , and the two ladies at the shop know the business well ."
ewtb.r.127157.4:8,who gives a crap,`,,,,,"One guy is a little surley , but |who| |gives| |a| |crap| as long as your car 's work is outstanding ."
ewtb.r.349020.9:0,Who knows,`,,,,,|Who| |knows| how much they want me to pay to fix this thing .
ewtb.r.190256.6:14,who would have,`,,,,,We have had nothing but compliments on our bathroom when guest come over - |who| |would| |have| guessed that one ?
ewtb.r.103519.2:10,why in the hell,`,,,,,"okay , I do nt have a review , but |why| |in| |the| |hell| would you name your business something that has the initials KKK .... is there something behind the scenes at this place ?"
ewtb.r.071278.7:9,worth every penny,`,,,,,You should give her a try - it 's |worth| |every| |penny| to know that you pet is in GREAT hands with Wunderbar pet sitting !!!!
ewtb.r.165032.3:2,worth every penny,`,,,,,He 's |worth| |every| |penny| .
ewtb.r.317594.8:0,Worth every penny,`,,,,,|Worth| |every| |penny| .
ewtb.r.388799.1:0,Worth Every Penny,`,,,,,|Worth| |Every| |Penny|
ewtb.r.388799.6:9,worth every penny,`,,,,,"I will sum it up with , it was |worth| |every| |penny| !"
ewtb.r.308088.2:31,WORTH TIME,`,,,,,"I was looking to bring a customer to their lot to buy a car but the Internet salesperson Last name is Balazick sent me this email "" AND IF IT WAS |WORTH| MY |TIME| I WOULD OF BOTHERED ASWERING YOUR QUESTIONS ."
ewtb.r.170650.2:3,years old,`,,,,,I 'm 61 |years| |old| and have dental problems my entire life .
ewtb.r.398243.2:16,years old,`,,,,,"I typically have work done on my Jeep at the dealership , but it is 6 |years| |old| now and getting charged dealership prices just did n't seem cost effective anymore ."
ewtb.r.043020.17:0,YOU GET WHAT YOU PAY FOR,`,,,,,|YOU| |GET| |WHAT| |YOU| |PAY| |FOR| !!!
ewtb.r.396880.1:2,you get what you pay for,`,,,,,I guess |you| |get| |what| |you| |pay| |for| .
ewtb.r.126134.2:3,her,`$,,,,,Doctor Bogomilsky knows |her| stuff too .
ewtb.r.185045.8:2,his,`$,,,,,He knows |his| bees !
ewtb.r.048363.16:7,my,`$,,,,,Here I am now driving confidently on |my| own .
ewtb.r.063347.5:35,their,`$,,,,,"This is a busy group of hosts they are also running a restaurant , which also must be wonderful - so just ask for what you need , and I 'm sure they will do |their| best to be hospitable ."
ewtb.r.080814.2:4,their,`$,,,,,These guys really know |their| stuff .. they have almost anything you could want in terms of spy and surviellance equipment .
ewtb.r.317846.4:9,their,`$,,,,,"Best of all , the staff is quick on |their| feet and even with long lines , usually serve you in 5 minutes or less ."
ewtb.r.109263.4:4,there,`$,,,,,I hope they get |there| act together ...
ewtb.r.039383.2:26,your,`$,,,,,"Pros : * Jill , the owner , is very nice and really cares about her feedback * Pretty nice atmosphere * Great Dessert * Not |your| typical veggie selection , I like !"
ewtb.r.137883.1:0,Your,`$,,,,,|Your| average crappy chain .
ewtb.r.287454.1:3,your,`$,,,,,This is not |your| usual cheap hotdog place .
ewtb.r.287454.4:3,your,`$,,,,,The atmosphere is |your| typical indie outfit with old movie posters and memorabilia from the 70's and 80's .
ewtb.r.211709.1:4,'d,`a,,,,,Best ceviche that I |'d| had so far ! :)
ewtb.r.263630.3:20,'d,`a,,,,,My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who |'d| arrived around 1:00 am and were drinking at the springs .
ewtb.r.319816.11:16,'d,`a,,,,,"I would not have gone back , but I could n't find the particular tire they |'d| used in stock anywhere else ."
ewtb.r.361545.4:35,'d,`a,,,,,"I availed myself of the wash 'n fold service , taking just about a year 's worth of dirty clothes in and getting back neatly folded , clean clothes in clear plastic bags ( I |'d| originally brought them in , in six large yellow garbage bags ) ."
ewtb.r.007403.2:7,'m,`a,,,,,"Hello my name is Vera and I |'m| writing a review about my own counseling practice in Bellevue , WA. and in Renton WA ."
ewtb.r.010820.8:4,'m,`a,,,,,"The only reason I |'m| giving 3 stars instead of 1 or 2 , I should admit , nothing was broken ."
ewtb.r.024385.5:1,'m,`a,,,,,I |'m| assuming they are completely out of business since I ca n't find any contact information .
ewtb.r.024385.6:1,'m,`a,,,,,"I |'m| hoping the bakers continue to do their baking out of another place , because it would be a shame not to have these cakes any longer ."
ewtb.r.061768.3:8,'m,`a,,,,,"The one guy who was there , I |'m| guessing was the owner , was probably the least helpful person I 've ever met ."
ewtb.r.117115.3:15,'m,`a,,,,,"The excellent windows have performed without any problems , but that 's not why I |'m| writing my review ."
ewtb.r.127252.6:2,'m,`a,,,,,"Already I |'m| considering future projects , and I can assure you that for my printing needs I will be choosing no other than Atlanta Paperback Book Printing ."
ewtb.r.130216.2:14,'m,`a,,,,,My house already feels fresh and good thanks to the Battery Park Pest I |'m| enjoying my time indoors much better .
ewtb.r.135010.8:14,'m,`a,,,,,Pay extra attention to the appetizers - the next time I go there I |'m| planning on ordered a few instead of an entree .
ewtb.r.181748.11:32,'m,`a,,,,,"I mean , I do n't care if he does n't know , but if he pretends to know and tells me BS to my face , there 's no way I |'m| going to trust him when matters turn to the price of the car and financing ."
ewtb.r.275140.1:1,'m,`a,,,,,I |'m| really surprised by the negative reviews .
ewtb.r.292841.2:35,'m,`a,,,,,"I 've stayed at this fabulous little motel two years running , and I have to say it 's one of the best lodging experiences I 've ever had on the coast ... and I |'m| even comparing it to the big resorts I 've stayed at !"
ewtb.r.329692.10:6,'m,`a,,,,,"As a yoga studio , I |'m| sure you 're all aware that all actions generate karma ."
ewtb.r.012047.3:5,'re,`a,,,,,These guys know what they |'re| doing and helped me in all phases of our project .
ewtb.r.067826.1:2,'re,`a,,,,,"If you |'re| looking for homestyle Japanese food , you ca n't beat this"
ewtb.r.094189.3:10,'re,`a,,,,,"Their store is dusty , dirty and feels like you |'re| stepping into the 1970s ."
ewtb.r.220214.3:8,'re,`a,,,,,"They also do n't tell you that they |'re| going to mail you an "" application "" to be admitted to be a patient ."
ewtb.r.231203.9:7,'re,`a,,,,,You just have to know what you |'re| getting into when you go .
ewtb.r.287360.6:5,'re,`a,,,,,These guys know what they |'re| doing !
ewtb.r.288100.6:16,'re,`a,,,,,"Please do not go there if it 's professional , friendly , diligent medical services you |'re| looking for ."
ewtb.r.333672.8:2,'re,`a,,,,,"If you |'re| looking to buy a car , definitely give them a call ."
ewtb.r.162422.15:3,'s,`a,,,,,He said he |'s| had a long and bad day .
ewtb.r.210066.4:6,'s,`a,,,,,"No problem , sounded like it |'s| done every day ."
ewtb.r.211797.18:23,'s,`a,,,,,"Unless you want to take the "" tell the customer how wrong she is and try and force her into a dress she |'s| obviously not loving "" approach which will likely get you ... uh ... nowhere ."
ewtb.r.276689.7:11,'s,`a,,,,,"Yes , you still have a few bugs , but that |'s| going to be anywhere you go !"
ewtb.r.283041.4:25,'s,`a,,,,,"Although I 'll have to drive a little out of my way to go there , I 'll gladly do it knowing that since she |'s| been astounding to me once before that she 'll always be that way !"
ewtb.r.294812.1:1,'s,`a,,,,,It |'s| now called Sushi Lover .
ewtb.r.311987.2:11,'s,`a,,,,,My husband just got a bike there as a gift he |'s| only had it a month .
ewtb.r.313825.2:11,'s,`a,,,,,I moved into the Tanglewood Apartments in late 2008 and it |'s| been a refreshing change .
ewtb.r.382073.3:1,'s,`a,,,,,"It |'s| located in the huge HONKA Log Homes building , by Walmart off of Evergreen Parkway ."
ewtb.r.008585.8:11,'ve,`a,,,,,"It 's without a doubt , the best service experience I |'ve| ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville 's price for putting on the other rear tire ."
ewtb.r.009596.2:10,'ve,`a,,,,,This store is by far the worst Verizon store I |'ve| been in .
ewtb.r.010378.3:14,'ve,`a,,,,,"During the session , he demanded to have my physical address , which I |'ve| always kept private as I am enrolled in a witness protection program ."
ewtb.r.010378.6:4,'ve,`a,,,,,I think he could |'ve| done more to assuage my concerns by giving me concrete facts .
ewtb.r.018548.13:16,'ve,`a,,,,,This was back between '05 and '09 and I do n't remember how many times we |'ve| had it delivered .
ewtb.r.022461.2:1,'ve,`a,,,,,I |'ve| been to quite a few tattoo shops around this area and Stainless Steel is by far the best .
ewtb.r.024306.2:18,'ve,`a,,,,,This place had the worst tasting pizza I have ever tasted it was possible the worst food I |'ve| ever eaten .
ewtb.r.030126.2:7,'ve,`a,,,,,This school is the worst one i |'ve| ever been to .
ewtb.r.030430.4:7,'ve,`a,,,,,Edit was the best massage therapist I |'ve| ever had and I would HIGHLY recommend her !
ewtb.r.030811.1:1,'ve,`a,,,,,"I |'ve| only had good experiences at Adorn , I was greeted and offered a refreshment ."
ewtb.r.034501.7:11,'ve,`a,,,,,"I gave the woman I spoke with today a "" You |'ve| been yelped ! "" card to let her know that Yelp may be a good tool for helping spreading the word about Papeluna ."
ewtb.r.036133.17:1,'ve,`a,,,,,I |'ve| had to pester this new guy several times to ask when my table will arrive .
ewtb.r.045972.3:2,'ve,`a,,,,,Now I |'ve| found someone who can manage to do what I really want .
ewtb.r.047007.1:9,'ve,`a,,,,,Called to check if they had a product I |'ve| been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder to me .
ewtb.r.053248.20:13,'ve,`a,,,,,"But one should not go here expecting something fantastic , unless perhaps you |'ve| never had middle - eastern food before , or succulent duck , tasty lamb , decent portion sizes or actually warm chocolate desserts ."
ewtb.r.053248.6:8,'ve,`a,,,,,The salatim salads are the smallest plates I |'ve| ever seen placed in front of me ( you would most likely think they were condiments if it were n't explained to you ) .
ewtb.r.054798.4:1,'ve,`a,,,,,I |'ve| had 2 cuts now from Georgia and have paid more in other salons / barbershops and have not received this kind of treatment or cut !
ewtb.r.060396.1:5,'ve,`a,,,,,"The best Thai food I |'ve| ever had in Australia , very fresh and so much favor of authentic Thai ."
ewtb.r.061768.3:21,'ve,`a,,,,,"The one guy who was there , I 'm guessing was the owner , was probably the least helpful person I |'ve| ever met ."
ewtb.r.063690.4:1,'ve,`a,,,,,I |'ve| referred everyone i know here and they all feel the same way !!
ewtb.r.077414.3:15,'ve,`a,,,,,I much preferred the one - on - one service here to the experiences I |'ve| had with bigger offices and firms .
ewtb.r.083849.1:12,'ve,`a,,,,,"Surprisingly , this little strip mall restaurant has the best sushi I |'ve| found in the Tampa area ."
ewtb.r.086839.2:6,'ve,`a,,,,,One of the worst experiences I |'ve| ever had with a auto repair shop .
ewtb.r.090136.4:15,'ve,`a,,,,,Hands - down the best pasta and gnocchi I 've ever eaten ( and I |'ve| eaten a lot ) .
ewtb.r.090136.4:9,'ve,`a,,,,,Hands - down the best pasta and gnocchi I |'ve| ever eaten ( and I 've eaten a lot ) .
ewtb.r.090136.6:1,'ve,`a,,,,,I |'ve| dined at lots of high - end restaurants and I 've never before felt my money was so well spent .
ewtb.r.090136.6:12,'ve,`a,,,,,I 've dined at lots of high - end restaurants and I |'ve| never before felt my money was so well spent .
ewtb.r.090643.4:1,'ve,`a,,,,,I |'ve| also sent over a number of friends to use the services here and everyone is extraordinarily pleased !
ewtb.r.118679.2:3,'ve,`a,,,,,"Unfortunately , I |'ve| given it a couple of tries at different times and decided to stop going ."
ewtb.r.127252.2:1,'ve,`a,,,,,I |'ve| had writer friends describe horror stories with their printers .
ewtb.r.147825.4:4,'ve,`a,,,,,Do n't think I |'ve| ever been charged before .
ewtb.r.163250.4:5,'ve,`a,,,,,The best customer service I |'ve| come across for long time .
ewtb.r.164580.4:4,'ve,`a,,,,,The best value I |'ve| found from a Chinese restaurant .
ewtb.r.171120.1:8,'ve,`a,,,,,this is the worst Sam s club I |'ve| ever been to
ewtb.r.183518.7:8,'ve,`a,,,,,"There 's plenty of parking , and I |'ve| never had an issue with audience members who wo n't stop talking or answering their cellphones ."
ewtb.r.188382.2:1,'ve,`a,,,,,"I |'ve| been a regular customer at this store since it opened , and love the fact that all of the employees are friendly locals ."
ewtb.r.188548.4:34,'ve,`a,,,,,"When it came time to pay the bill up front , they would not let me use any of the certificate for a tip ( which I have done with any other restaurant I |'ve| gotten a gift certificate for . )"
ewtb.r.190256.8:3,'ve,`a,,,,,Best money I |'ve| spent on remodeling ever .
ewtb.r.191666.1:3,'ve,`a,,,,,Worst Service I |'ve| Ever Experienced
ewtb.r.192713.1:5,'ve,`a,,,,,The finest Christmas Trees i |'ve| ever seen .
ewtb.r.207629.3:1,'ve,`a,,,,,"I |'ve| read some of the reviews below and would like to state that yes , like any other doctor s office there is sometimes a wait ( depending on what other patients are being seen for ) and some of the tests and procedures that are ran can be costly ( just like they would be for any other medical tests elsewhere if you do not have insurance ) ..."
ewtb.r.209465.2:12,'ve,`a,,,,,"I have been eating Pho for almost my entire life and I |'ve| always gone to the Pho places in south philly and off the boulevard and even the other one in chinatown , but when i tried this pho place , it blew the other pho houses away !!"
ewtb.r.235423.1:4,'ve,`a,,,,,The Worst Chinese I |'ve| Ever Had
ewtb.r.235576.7:2,'ve,`a,,,,,"If you |'ve| been to North County , chances are it 's in your favorites list already ."
ewtb.r.251755.2:9,'ve,`a,,,,,Susanna is the best dress maker / tailor I |'ve| ever come across in my whole life !
ewtb.r.275140.2:1,'ve,`a,,,,,We |'ve| had about 5 repairs done on 3 different laptops .
ewtb.r.275140.3:1,'ve,`a,,,,,They |'ve| always been timely and inexpensive .
ewtb.r.290594.4:1,'ve,`a,,,,,"I |'ve| toured this place and was impressed by how clean the place was , and all the options for the dogs ."
ewtb.r.290594.6:2,'ve,`a,,,,,"But I |'ve| done hundreds of dog introductions myself ( another place , I do n't work here ) , and owners can have unrealistic expectations and views of what they see when their dogs meet other dogs ."
ewtb.r.292841.2:1,'ve,`a,,,,,"I |'ve| stayed at this fabulous little motel two years running , and I have to say it 's one of the best lodging experiences I 've ever had on the coast ... and I 'm even comparing it to the big resorts I 've stayed at !"
ewtb.r.292841.2:26,'ve,`a,,,,,"I 've stayed at this fabulous little motel two years running , and I have to say it 's one of the best lodging experiences I |'ve| ever had on the coast ... and I 'm even comparing it to the big resorts I 've stayed at !"
ewtb.r.292841.2:44,'ve,`a,,,,,"I 've stayed at this fabulous little motel two years running , and I have to say it 's one of the best lodging experiences I 've ever had on the coast ... and I 'm even comparing it to the big resorts I |'ve| stayed at !"
ewtb.r.317594.5:28,'ve,`a,,,,,Not only was it a good cut but my wife and friends comment on my hair every time I leave ... saying it 's the best look I |'ve| ever had .
ewtb.r.334928.1:7,'ve,`a,,,,,One of the better vegetarian sandwiches I |'ve| had in Seattle .
ewtb.r.339176.2:1,'ve,`a,,,,,I |'ve| been to this shop twice ( once for an inspection and again for an oil change ) and they truly live up to their name : Discount !
ewtb.r.346627.3:6,'ve,`a,,,,,This is car number 3 we |'ve| purchased through them .
ewtb.r.346960.5:2,'ve,`a,,,,,( I |'ve| been through at least 5 places already . )
ewtb.r.351840.2:1,'ve,`a,,,,,We |'ve| only had one urgent issue to deal with and they were very prompt in their response .
ewtb.r.358702.5:9,'ve,`a,,,,,But this location has the worst weekend staff I |'ve| seen EVER .
ewtb.r.361545.2:31,'ve,`a,,,,,"Outside of parking being at a premium , especially on discount days , The Laundry Tub is not filthy and it 's no smaller than any of a dozen laundromats I |'ve| been in ."
ewtb.r.363685.14:4,'ve,`a,,,,,"If they think you |'ve| taken a soda from your room home with you , they will charge you $ 1.50 per can ."
ewtb.r.374604.1:1,'ve,`a,,,,,"I |'ve| never felt the need to write a review or make a complaint before , but after the way I was spoken to by a member of staff at the kennels ( whose name I believe to be Mrs Closs ) I would now not recommend this business to anybody ."
ewtb.r.391012.7:1,'ve,`a,,,,,I |'ve| spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.394662.4:6,'ve,`a,,,,,"I enjoy going there although i |'ve| only been there once , i will be returning toda to recieve a pair of french tips and i will only go to the best and to me the best is here ."
ewtb.r.396874.3:2,about to,`a,,,,,I was |about| |to| give up when I met Jason and Neal .
ewtb.r.038358.3:14,ai,`a,,,,,I would have had to because with the economy the way it is i |ai| nt haves much monies fo repairs round the House ....
ewtb.r.007403.7:1,am,`a,,,,,I |am| a preferred provider with most insurance companies .
ewtb.r.010378.3:20,am,`a,,,,,"During the session , he demanded to have my physical address , which I 've always kept private as I |am| enrolled in a witness protection program ."
ewtb.r.026641.2:1,am,`a,,,,,I |am| hiring them to come once a week now that they got my house to where they can maintain it for only an hour and a half every two weeks !
ewtb.r.029870.2:6,am,`a,,,,,I enjoyed my tour and i |am| looking for adventure tour and India heritage tours for valuable .
ewtb.r.047762.4:1,am,`a,,,,,I |am| not saying it is a 5 star hotel .
ewtb.r.047762.5:1,am,`a,,,,,"I |am| saying when comparing all other hotels in Wildwood , this hotel has everything that we are looking for ."
ewtb.r.072507.4:25,am,`a,,,,,"In just 2 - 3 focused lessons , I 'm already now capable of picking up new songs off YouTube guitar how to videos and |am| even writing my own orginals with confidence !"
ewtb.r.109263.5:1,am,`a,,,,,I |am| going to give it one last chance in next few months and see ??
ewtb.r.156460.3:8,am,`a,,,,,I can not tell you how often I |am| complimented on my hair ( style AND color ) !
ewtb.r.156953.11:1,am,`a,,,,,I |am| definitely going back
ewtb.r.182354.4:19,am,`a,,,,,"Mike one of owners was awesome , he explained the detailed plan , and executed on time , I |am| always going use them and refer them to many friends I can because of the great job they did me ."
ewtb.r.269560.7:10,am,`a,,,,,I will never go back to this place and I |am| reporting them to the better business bureau for such horrible customer relations and basically sabotaging my pizza and taking my $ 25 .
ewtb.r.270502.4:2,am,`a,,,,,Re-interviewed and |am| going on interviews for a new job .
ewtb.r.310032.5:1,am,`a,,,,,"I |am| waiting longer at BNA for my pickups and last time I parked with them , they lost my car key ."
ewtb.r.333243.12:5,am,`a,,,,,"Well , again , I |am| now faced with a tax bill of $ 6,000 + , all due on April 15 , 2010 and all that Rod has to say to the matter is ' well , you wo n't have to pay a penalty . '"
ewtb.r.333243.9:11,am,`a,,,,,"However , now that I have come to realize that I |am| going to owe the IRS $ 6,000 + despite doing exactly what Rod told me to do , I feel I have to voice my opinion ."
ewtb.r.377347.4:1,am,`a,,,,,I |am| doing origami jewelry and found exactly the right things for earrings and got many other ideas there too .
ewtb.r.010393.5:2,are,`a,,,,,"If you |are| looking for towing services that can offer you a good towed car service , then Auto Towing is the company for you ."
ewtb.r.011257.5:13,are,`a,,,,,"I enjoyed speaking with Dan , and learning more about how the springs |are| sized for these doors ."
ewtb.r.036753.9:7,are,`a,,,,,"From a moral standpoint , you guys |are| really gon na take 2,000 bucks from someone that needs that truck to work and support his family when you know it s just a piece of scrap metal ?"
ewtb.r.047184.5:20,are,`a,,,,,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we |are| taught Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening ....
ewtb.r.047762.5:17,are,`a,,,,,"I am saying when comparing all other hotels in Wildwood , this hotel has everything that we |are| looking for ."
ewtb.r.055207.5:16,are,`a,,,,,You 'd think they would do a good job but they do n't care unless they |are| getting paid full price .
ewtb.r.057386.6:8,are,`a,,,,,"It is a bustling place where separate parties |are| seated at the same table ( as in many European cafes ) , but if you are OK with that , the food is very good ."
ewtb.r.063347.5:8,are,`a,,,,,"This is a busy group of hosts they |are| also running a restaurant , which also must be wonderful - so just ask for what you need , and I 'm sure they will do their best to be hospitable ."
ewtb.r.063963.5:12,are,`a,,,,,If you are really desperate for something to pass the time and |are| willing to shell out the best part of L 30 for 2 two people then go for it .
ewtb.r.070730.7:8,are,`a,,,,,But I 'd go elsewhere unless the prices |are| cut .
ewtb.r.079375.10:20,are,`a,,,,,In fact I look forward to taking my animals to the vet simply because of how my animals and I |are| treated .
ewtb.r.083459.2:5,are,`a,,,,,"Went there yesterday : we |are| trying to decide between two different Honda models , so we wanted to test - drive both back to back ."
ewtb.r.097507.2:2,are,`a,,,,,"If you |are| looking for authentic British meat pies , then look know further ."
ewtb.r.106150.4:1,are,`a,,,,,They |are| preparing my older son for kindergarten and looks forward to seeing his teacher and friends every day .
ewtb.r.107692.9:21,are,`a,,,,,"If you have gotten through ordering , dealing with the rude staff and if you followed the dumb rules , you |are| finally presented with what you came for .. some tacos that are "" ok , "" but definitely not worth putting up with all the hassle ."
ewtb.r.108338.2:9,are,`a,,,,,"Like the previous poster said , the com lines |are| split between the entire building ."
ewtb.r.118679.3:10,are,`a,,,,,The employees do n't really seem to enjoy what they |are| doing and it shows .
ewtb.r.125522.3:1,are,`a,,,,,Calls |are| now forwarded to Malcolm Smith Motorsports down the road .
ewtb.r.133981.4:11,are,`a,,,,,Both bathrooms look like they were flooded and the wood cabinets |are| thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .
ewtb.r.162422.9:12,are,`a,,,,,"When I inquired he rudely replied "" in the morning when things |are| checked out you 'll get it back . """
ewtb.r.191666.7:14,are,`a,,,,,"The invoice is not detailed , so it is difficult to see what you |are| paying for ."
ewtb.r.194316.6:18,are,`a,,,,,I just discovered her has a place right near my work ( Color me Phat ) If you |are| looking for a romatic place with the best food and service in the valley Giovanni Ristorante should be your number 1 + 2 choice .
ewtb.r.196219.6:5,ARE,`a,,,,,"OVERALL DECENT BUT IF YOU |ARE| EXPECTING A RUTH CHRIS TYPE STEAK , THIS IS NOT IT ."
