,v1MWE,P,note,MWE (0 = no change),v2 Scene Role,v2 Prep Function,
ewtb.r.077414.2:25,deal_with,with,,0,,,"Bloom_Legal was really attentive to my problem , and Seth_Bloom took_the_time to help me understand the legal issue I was dealing_with ."
ewtb.r.097507.5:14,deal_with,with,,0,,,"The owner / baker , "" Pie_Guy "" is a_hoot to deal_with as_well ."
ewtb.r.124163.6:17,deal_with,with,,0,,,He is always prepared to go_the_extra_mile to ensure that any patient discomfort is dealt_with immediately -
ewtb.r.130795.6:21,deal_with,with,,0,,,"I live 10 minutes from Cycle_City , but I Drove 50 mile south to Peachstate_Powersports in LaGrange , dealt_with the owner , Levi , and was well taken_care_of ."
ewtb.r.160073.13:9,deal_with,with,,0,,,The staff is also just so pleasant to deal_with .
ewtb.r.170650.8:15,deal_with,with,,0,,,Doctor_Gonzales and his entire staff are the most professional people I have ever dealt_with .
ewtb.r.181748.5:21,deal_with,with,,0,,,"I was extremely interested in the car and very likely would have bought it , but the sales_guy I dealt_with ruined the deal ."
ewtb.r.235423.9:13,deal_with,with,,0,,,Not_to_mention that the wait_staff was about as pleasant as dealing_with an angry bull .
ewtb.r.251475.2:3,deal_with,with,,0,,,Best to deal_with !
ewtb.r.348369.5:7,deal_with,with,,0,,,they save~ me ~from having_to deal_with Tmobile ...
ewtb.r.351840.2:9,deal_with,with,,0,,,We 've only had one urgent issue to deal_with and they were very prompt in their response .
ewtb.r.126171.3:16,disappointed_with,with,Adj,disappointed~with,Stimulus,Topic,"The people there attempt to come_across and professional and nice , but I was disappointed_with their customer_service ."
ewtb.r.329692.7:12,disappointed_with,with,Adj,disappointed~with,Stimulus,Topic,"Well , not much I can say except I 'm very disappointed_with this experience ."
ewtb.r.376503.5:14,do_business_with,with,,do_business~with,OrgRole,Co-Agent,I 'm glad I trusted_ my _gut and did n't get_sucked_into doing_business_with them .
ewtb.r.034995.2:7,end_up_with,with,cf. my plant ended up dying,end_up with,Circumstance,,Also more_often_than_not you end_up_with a healthy_dose of nasty rude attitude from the employees !
ewtb.r.333243.12:8,face_with,with,Adj?,0,,,"Well , again , I am now faced_with a tax bill of $ 6,000 + , all due on April 15 , 2010 and all that Rod has~to~say to the matter is ' well , you wo n't have_to pay a penalty . '"
ewtb.r.034501.5:7,fill_with,with,,fill~with,Theme,Instrument,It 's an adorable little store filled_with lots of stationery goodness .
ewtb.r.389298.3:12,get_along_with,with,,get_along~with,Co-Agent,,The sales staff and the installation staff were all easy to get_along_with .
ewtb.r.039856.5:5,get_away_with,with,,0,,,How these~guys can get_away_with being_ so _rude with people is mind_blowing .
ewtb.r.215460.3:13,get_in_touch_with,with,,get_in_touch~with,Recipient,Co-Agent,Apart_from that in_spite_of my repeated attempts I could not get_in_touch_with the manager to even lodge_ an official _complaint .
ewtb.r.127252.3:8,go_with,with,,0,,,I tell them : why not just go_with these guys ?
ewtb.r.134622.4:5,go_with,with,,0,,,Very glad that we went_with them .
ewtb.r.333672.7:6,happy_with,with,Adj,happy~with,Stimulus,Topic,"Overall , I was very happy_with the customer_service and my purchase ."
ewtb.r.341397.4:6,happy_with,with,Adj,happy~with,Stimulus,Topic,i could n't be more happier_with the way my garage looks .
ewtb.r.310018.2:2,have_a_way_with,with,cf. have a way of (different meaning),0,,,She has_a_ great _way_with children and is able to capture their personality as_well_as many spontaneous images .
ewtb.r.183518.7:11,have_issue_with,with,,had_issue~with,Topic,,"There 's plenty of parking , and I 've never had_ an _issue_with audience members who wo n't stop talking or answering their cellphones ."
ewtb.r.035993.2:2,have_problem_with,with,,had_problem~with,Topic,,I had_ no _problem_with my delivery .
ewtb.r.084373.6:3,have_problem_with,with,,have_problems~with,Topic,,"If you have_ some _problems_with your windows , you should call them ."
ewtb.r.315763.6:4,have_problem_with,with,,had_problems~with,Topic,,I have never had_ any _problems_with loud neighbors or concerns about safety .
ewtb.r.181748.4:3,have_to_do_with,with,,0,,,It ALL had_to_do_with the sales_guy which was a young 22 year_old who had admittedly only been working for 2 weeks .
ewtb.r.280663.6:19,meet_with,with,,meet with,Co-Agent,,"They asked us things that we would have never have thought_of , and took_ extra _time to meet_with us when we needed it before the wedding ."
ewtb.r.049766.6:9,mingle_with,with,,mingle~with,Co-Agent,,"and most correctly , us visitors did not mingle_with the native wildlife ."
ewtb.r.059655.3:4,pleased_with,with,Adj,pleased~with,Stimulus,Topic,i was very pleased_with the service .
ewtb.r.084373.1:4,pleased_with,with,Adj,pleased~with,Stimulus,Topic,We are very pleased_with the services of First_Glass_Window .
ewtb.r.101398.3:13,pleased_with,with,Adj,pleased~with,Stimulus,Topic,We were a party of 4 and none of us were particularly pleased_with our dishes .
ewtb.r.131965.2:7,pleased_with,with,Adj,pleased~with,Stimulus,Topic,"We at R&L_Plumbing_Services are pleased_with your professionalism and the_extra_mile_ you _went to get_ out computers _working correctly , you will be_ our _first_call if anything happens again and we will refer you to other people with computer issues ."
ewtb.r.162992.2:3,pleased_with,with,Adj,pleased~with,Stimulus,Topic,I am pleased_with the service that i get at Luxe .
ewtb.r.107692.9:24,present_with,with,,presented~with,Theme,,"If you have gotten_through ordering , dealing~with the rude staff and if you followed~ the dumb ~rules , you are finally presented_with what you came for .. some tacos that are "" ok , "" but definitely not worth putting_up_with~ all the ~hassle ."
ewtb.r.169610.2:3,provide_with,with,,provided~with,Theme,,Mrs._Tolchin provided_ us _with excellent service and came with a great_deal_of knowledge and professionalism !
ewtb.r.288163.6:1,provide_with,with,,Provided~with,Theme,,Provided_ me _with warm blanket and has soft music playing .
ewtb.r.107692.9:43,put_up_with,with,,0,,,"If you have gotten_through ordering , dealing~with the rude staff and if you followed~ the dumb ~rules , you are finally presented_with what you came for .. some tacos that are "" ok , "" but definitely not worth putting_up_with~ all the ~hassle ."
ewtb.r.345182.17:13,put_up_with,with,,0,,,There are to many people that need our business to have_to put_up_with this unfair treatment !!!!!
ewtb.r.031113.2:24,stick_with,with,,0,,,"I just moved nearby and have tried several of the local places , this was the first one and I should have just stuck_with it ."
ewtb.r.270889.3:13,stick_with,with,,0,,,We have tried many different computer_people until now - we will stick_with Qualitech_Computers !!!
ewtb.r.278775.2:15,take_the_plunge_with,with,,take_the_plunge,Topic,,"We had been evaluating SEO providers for quite some time and finally decided to take_the_plunge_with Stuart , and Ulistic ."
ewtb.r.067423.2:5,trust_with,with,,trust~with,Topic,,Our family has been trusting_ Doctor_Hank _with our teeth for the last seven years .
ewtb.r.211797.22:26,trust_with,with,,trust~with,Topic,,I felt very much like Wedding_Gallery was being dishonest and I would n't trust them to lace_ me _up in another gown let_alone trust_ them _with the gown I will wear on the_most_important_day_of_ my _life .
ewtb.r.326649.2:3,trust_with,with,,trust~with,Topic,,"I personally trust_ this Midas store _with all my vehicles , I have been going there for years & would never go anywhere else !"
ewtb.r.339176.6:10,trust_with,with,,trust with,??,,The owner is a pleasant guy and I would trust_ my car _with him or any of his workers .
ewtb.r.036753.4:16,wrong_with,with,Adj,wrong~with,Theme,,"Their so_called mechanic said the engine was good and "" There is nothing mechanicly wrong_with this truck "" ."
ewtb.r.294978.3:2,wrong_with,with,Adj,wrong~with,Theme,,"Nothing wrong_with it , just better options at this price_point ."
ewtb.r.361316.3:14,wrong_with,with,Adj,wrong~with,Theme,,They were very friendly and were able to explain me exactly what was~wrong_with it .
