,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.031113.1:2,at,,,Value,,Cost,Locus,,,Good Pizza |at| a good price
ewtb.r.054798.2:2,at,,,Value,,Cost,Locus,,,Awesome haircut |at| awesome price right here in Palatine !
ewtb.r.077298.2:21,at,,,Value,,Cost,Locus,,,I 'm not interested in shopping in a place with people like her ... she refused to sell me the item |at| its marked price even after admitting they had made a mistake .
ewtb.r.090643.1:4,at,,,Value,,Cost,Locus,,,Outstanding service & quality |at| a very affordable price !
ewtb.r.094621.5:4,at,,,Value,,Cost,Locus,,,Their quote came in |at| half the price of A&E for the same work and same part .
ewtb.r.131458.3:23,at,,,Value,,Cost,Locus,,,Tina is the driving force of the business and you can be assured that she will endevour to satisfy all your signage requirements |at| the most cost effective rates .
ewtb.r.138249.1:5,at,,,Value,,Cost,Locus,,,These guys do great work |at| VERY reasonable prices .
ewtb.r.164937.3:10,at,,,Value,,Cost,Locus,,,"The owners are really nice , they serve good food |at| a good price , and the option to eat outside on the deck ( esp on the weekend whether there is hardly any traffic ) is great ."
ewtb.r.187266.10:16,at,,,Value,,Cost,Locus,,,The affordable rent makes it possible for an inspired chef to serve his high quality fare |at| affordable prices !
ewtb.r.294978.3:8,at,,,Value,,Cost,Locus,,,"Nothing wrong with it , just better options |at| this price point ."
ewtb.r.308297.3:5,at,,,Value,,Cost,Locus,,,"They offer a good portions |at| a great price , it 's enough food to fill you up , but you do n't ever feel like you ate too much ."
ewtb.r.329807.3:7,at,,,Value,,Cost,Locus,,,They have always done a great job |at| a reasonable price .
ewtb.r.332476.1:2,at,,,Value,,Cost,Locus,,,Amazing Pictures |at| an Amazing Price
ewtb.r.332476.3:5,at,,,Value,,Cost,Locus,,,She gave me amazing pictures |at| an amazing price and made my wedding day so memorable .
ewtb.r.339176.4:10,at,,,Value,,Cost,Locus,,,"The thing is , you still get high quality service |at| nicely discounted rates !"
ewtb.r.359287.1:4,at,,,Value,,Cost,Locus,,,High guality pup food |at| a good price .
ewtb.r.361545.2:4,at a premium,,,State,,Cost,,,,"Outside of parking being |at| |a| |premium| , especially on discount days , The Laundry Tub is not filthy and it 's no smaller than any of a dozen laundromats I 've been in ."
ewtb.r.003418.12:6,for,,,Theme,bilk for,Cost,,,,"Not only am I being bilked |for| money I do not owe , the office staff is rude to boot ."
ewtb.r.003418.4:5,for,,,Value,,Cost,,,,Then I got a bill |for| $ 483.00 .
ewtb.r.018465.14:6,for,,,Value,,Cost,,,,"He then "" fixed "" it |for| free but it still looked like crap ."
ewtb.r.029870.1:26,for,,,Value,,Cost,,,,"I found Bright Star Tours and Travels and Best and Affordable Tour Operators and Tours Agents in Chennai , India offered me Student Tour India Package |for| very less price ."
ewtb.r.054798.1:5,for,,,Value,,Cost,,,,Where else can you go |for| $ 10 and recieve this treatment ?!
ewtb.r.063690.3:15,for,,,Value,,Cost,,,,"it s great to know you can get great service , great product , and |for| the best price all in one !"
ewtb.r.100592.4:19,for,,,Value,,Cost,,,,i cold n't find anywere else local to fix it so i took it there and they fixed it |for| $ 150 ...
ewtb.r.124552.1:4,for,,,Value,,Cost,,,,They have good sushi |for| a good price .
ewtb.r.190256.4:10,for,,,Value,,Cost,,,,The best part is I got my whole bathroom remodeled |for| about the same price the other compan's were quoting just to fix the shower tile and fixtures .
ewtb.r.210066.7:5,for,,,Value,,Cost,,,,I can rent another machine |for| like $ 60 that will give it a finished look .
ewtb.r.221664.6:5,for,,,Value,,Cost,,,,I did the work myself |for| $ 50 .
ewtb.r.229623.4:0,For,,,Value,,Cost,,,,|For| $ 4 it was a nice break from the monotony of winter indoors with a toddler .
ewtb.r.263909.2:14,for,,,Value,,Cost,,,,Bisconti wanted over $ 300 to fix my laptop and these guys fixed it |for| $ 90 !
ewtb.r.266591.4:11,for,,,Value,,Cost,,,,The lunch specials are more food than most people can eat |for| about $ 6 .
ewtb.r.280340.6:8,for,,,Value,,Cost,,,,The portions were generous and we got out |for| less than the cost of one entree at some chain restaurant .
ewtb.r.292997.5:35,for,,,Value,,Cost,,,,"Also , if you are into wine , Alto has the depth of both region , varietal , and vintage to satisfy nearly any sommelier ( or after 9 pm , bring your own bottle |for| free ... no corking fee ! ) ."
ewtb.r.325741.3:11,for,,,Value,,Cost,,,,They picked my car up in Yarmouth and towed to Bath |for| a great price .
ewtb.r.326112.2:33,for,,,Value,,Cost,,,,"I rang SRD PAT testing and within 3 hours Scot had come to my premises and PAT tested all my our Spill The Whisky barn dance band equipment , and supplied a certificate |for| only 70 p per unit ."
ewtb.r.326439.10:7,FOR,,,Value,,Cost,,,,THEY HAVE EXCELLENT SUSHI CHEF SPECIAL ROLLS |FOR| A FAIR PRICE AND SO IS THE GRILL ORDERS .
ewtb.r.329991.3:27,for,,,Value,,Cost,,,,"I was very happy with the customer service and even more please with the portion size , to go box set up and quality of the food |for| the price ."
ewtb.r.333243.5:17,for,,,Value,,Cost,,,,"I expected to pay for this service , but imagine my surprise when I received a bill |for| MORE than what I paid to have the original return prepared ."
ewtb.r.354336.4:5,for,,,Value,,Cost,,,,It 's the best meal |for| the money you will find in all of metro Atlanta .
ewtb.r.083454.2:13,for free,,,Value,,Cost,,,,"Also they will fill your tires with air and other small maintenance tasks |for| |free| , even if you did n't buy your car there !"
ewtb.r.003418.9:28,of,,,Value,,Cost,,,,"I eventually decided to just pay the balance even though the doctor has already been paid , but now the collection agency is trying to say another reversal |of| $ 160.00 has come through ."
ewtb.r.333243.12:12,of,,,Value,,Cost,,,,"Well , again , I am now faced with a tax bill |of| $ 6,000 + , all due on April 15 , 2010 and all that Rod has to say to the matter is ' well , you wo n't have to pay a penalty . '"
ewtb.r.363685.34:13,of,,,Value,,Cost,,,,"I 'd go back if I could get the last minute rate again |of| $ 99 , but I would n't pay their rack rate ."
ewtb.r.398243.8:42,for,,,Value,,Cost?,,,,"Also , a week after the work , Phet called me up to see how my car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund |for| that amount ."
ewtb.r.035899.5:7,from,,,InitialLocation,,Direction,AWAY_FROM,,,"We have since moved slightly further away |from| the centre but it 's worth the extra travel , as the care provided exceeds our expectations ... especially after a few horrendous daycare experiences elsewhere ."
ewtb.r.026883.10:48,into,,T,Direction,coming into contact with,Direction,Goal,,,Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed in causing the dresser to lean |into| the wall ; and a nighstand was missing a drawer .
ewtb.r.170650.6:11,around,,I,1DTrajectory,,Direction,,,,"At the front door of his office , I nearly turned |around| ."
ewtb.r.015573.5:1,away,,I,Direction,,Direction,,,,Run |away| .
ewtb.r.035899.5:6,away,,I,Direction,,Direction,,,,"We have since moved slightly further |away| from the centre but it 's worth the extra travel , as the care provided exceeds our expectations ... especially after a few horrendous daycare experiences elsewhere ."
ewtb.r.071650.2:29,away,,I,Direction,,Direction,,,,When I originally joined in January I only did so because I was told I would be able to cancel the 12 month membership if I was to move |away| .
ewtb.r.071650.7:30,away,,I,Direction,,Direction,,,,Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving |away| .
ewtb.r.117115.8:19,away,,I,Direction,,Direction,,,,"My next - door neighbor heard the noise and turned on a light , thankfully scaring the two miscreants |away| ( they even left their hammer behind ! ) ."
ewtb.r.290594.12:7,away,,I,Direction,,Direction,,,,No business is going to push customers |away| without good reason ; so is n't it reasonable to think they might know what they 're doing ?
ewtb.r.349020.10:2,away,,I,Direction,,Direction,,,,I walked |away| .
ewtb.r.010820.2:34,back,,I,Direction,,Direction,,,,When the guys arrived ( 2 hours later than agreed ) they told that you have to pay all the tolls they payed coming from Brooklyn and extra $ 100 for them to drive |back| from your destination .
ewtb.r.017345.10:4,back,,I,Direction,,Direction,,,,I 'll never go |back| there again
ewtb.r.018465.15:4,back,,I,Direction,,Direction,,,,I will never go |back| .
ewtb.r.020851.5:12,back,,I,Direction,,Direction,,,,"Trust me , you go there once and you -ll always go |back| !"
ewtb.r.024132.2:27,back,,I,Direction,,Direction,,,,"Mark at Tintman Nationwide tints Ltd , did a very Professional job very quick , no fuss , deliverd the car to me and I drove him |back| home , Great arrangement Great price !!"
ewtb.r.037794.3:4,back,,I,Direction,,Direction,,,,Def going to come |back| and try this place again .
ewtb.r.042416.1:5,back,,I,Direction,,Direction,,,,Ca n't wait to go |back| !!!
ewtb.r.042416.7:6,back,,I,Direction,,Direction,,,,"We can not wait to go |back| to Santa Fe and to this great B&B ... especially my 4 year old , who made friends with Ms. Sue and all the ladies , and has talked about them since we left !"
ewtb.r.043020.2:10,back,,I,Direction,,Direction,,,,B&B came out very quickly to give us our quote |back| in June .
ewtb.r.055207.7:11,back,,I,Direction,,Direction,,,,Not to mention the fact that they gave us our cats |back| not even 30 minutes after they were out from surgery .
ewtb.r.063690.5:4,back,,I,Direction,,Direction,,,,i 'll be coming |back| for years to come !
ewtb.r.079827.6:3,back,,I,Direction,,Direction,,,,We 'll be |back| often .
ewtb.r.086839.5:3,back,,I,Direction,,Direction,,,,"We took it |back| in to have it repaired again , and less than a week later the second compressor went out ."
ewtb.r.091704.7:20,back,,I,Direction,,Direction,,,,Once they realized their mistake they sent a mechanic and tow truck to my wife 's work and towed it |back| to fix it .
ewtb.r.111583.5:18,back,,I,Direction,,Direction,,,,After going to the hospital and paying ER prices ... there is no way I wo n't be |back| here !!
ewtb.r.111583.6:3,back,,I,Direction,,Direction,,,,I will be |back| and telling EVERYONE about this clinic .
ewtb.r.116821.11:6,back,,I,Direction,,Direction,,,,It tasted like I just flew |back| home .
ewtb.r.118770.4:3,back,,I,Direction,,Direction,,,,We will be |back| again and again !!
ewtb.r.122270.7:11,back,,I,Direction,,Direction,,,,Everyone was so helpful that I can not wait to go |back| .....
ewtb.r.128168.8:9,back,,I,Direction,,Direction,,,,He also hurt my toes will pushing my cuticles |back| .
ewtb.r.128636.6:4,back,,I,Direction,,Direction,,,,He got the pictures |back| to me quickly .
ewtb.r.135800.6:6,back,,I,Direction,,Direction,,,,They told me to bring it |back| after 5000 miles .
ewtb.r.135800.7:3,back,,I,Direction,,Direction,,,,I brought it |back| with 9000 miles .
ewtb.r.154157.5:1,back,,I,Direction,,Direction,,,,Going |back| to have some lab coats done this weekend !
ewtb.r.156953.11:4,back,,I,Direction,,Direction,,,,I am definitely going |back|
ewtb.r.160073.17:4,back,,I,Direction,,Direction,,,,and you will go |back| for more !!!
ewtb.r.160073.7:13,back,,I,Direction,,Direction,,,,We stopped in and got some take out and can not stop going |back| .
ewtb.r.160442.3:16,back,,I,Direction,,Direction,,,,They did a very bad job with my hair and were extremely rude when I went |back| to ask them why it did n't work for my hair .
ewtb.r.162422.9:19,back,,I,Direction,,Direction,,,,"When I inquired he rudely replied "" in the morning when things are checked out you 'll get it |back| . """
ewtb.r.181748.6:40,back,,I,Direction,,Direction,,,,"Essentially , I told him I did n't trust him cause he was a car salesman , but he got so incredibly offended at that statement that he had to go cry to another salesman and compose himself before coming |back| ."
ewtb.r.187266.5:16,back,,I,Direction,,Direction,,,,I can tell you we were pleasantly surprised -- BT has taste memory and each time |back| the food was consistently delicious -- same dishes -- were consistent .
ewtb.r.187266.8:8,back,,I,Direction,,Direction,,,,Treat yourself and go -- you will go |back| !
ewtb.r.188548.5:8,back,,I,Direction,,Direction,,,,I then asked if I could have money |back| in cash .
ewtb.r.211933.2:21,back,,I,Direction,,Direction,,,,Seth provides deep tissue massage which has significantly reduced the pain in my neck and shoulders and added flexibility and movement |back| to the area .
ewtb.r.238839.5:13,back,,I,Direction,,Direction,,,,I have eaten here twice in the past year and will not go |back| and can not recommend it .
ewtb.r.243799.2:17,back,,I,Direction,,Direction,,,,went in there and got my dog groomed came home to an uneven dog then took him |back| to get evened up what a mistake !
ewtb.r.243799.4:4,back,,I,Direction,,Direction,,,,i wo nt go |back| !
ewtb.r.257296.4:1,back,,I,Direction,,Direction,,,,Come |back| and give HCC a second chance at least !
ewtb.r.266676.2:33,Back,,I,Direction,,Direction,,,,"Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting |Back| In To The Grid Is Great , Great Job Thanks"
ewtb.r.269560.7:4,back,,I,Direction,,Direction,,,,I will never go |back| to this place and I am reporting them to the better business bureau for such horrible customer relations and basically sabotaging my pizza and taking my $ 25 .
ewtb.r.272836.2:2,back,,I,Direction,,Direction,,,,"Since moving |back| from college and trying to settle roots in the Village , I have referred to the La Jolla Blue Book for a ton of local numbers ."
ewtb.r.274106.2:3,back,,I,Direction,,Direction,,,,I just got |back| from france yesterday and just missed the food already !
ewtb.r.286172.3:2,back,,I,Direction,,Direction,,,,Definetely going |back|
ewtb.r.294081.8:14,BACK,,I,Direction,,Direction,,,,I HAD TO ASK THE GIRL WHO BROUGHT MY FOOD AND SHE NEVER CAME |BACK| TO LET ME KNOW .
ewtb.r.294812.2:15,back,,I,Direction,,Direction,,,,"Food is just okay .. wo n't crave it , but would n't mind coming |back| for a quick meal ."
ewtb.r.319816.11:5,back,,I,Direction,,Direction,,,,"I would not have gone |back| , but I could n't find the particular tire they 'd used in stock anywhere else ."
ewtb.r.319816.23:7,back,,I,Direction,,Direction,,,,Of course I could n't make it |back| in time ( and they apparently could not stay 5 extra minutes to wait for me ) .
ewtb.r.319816.8:4,back,,I,Direction,,Direction,,,,"Once I actually got |back| in my car , it was dirty and had grease all over the steering wheel ."
ewtb.r.326649.4:23,back,,I,Direction,,Direction,,,,This is however a very busy shop but there are appointments available & the staff up front will surely make sure you get |back| in a timely manner .
ewtb.r.336049.7:3,back,,I,Direction,,Direction,,,,Would n't go |back| as there are a lot of places A LOT better and cheaper .
ewtb.r.349020.2:4,back,,I,Direction,,Direction,,,,"The night I drove |back| home , I found that the rear window has some leakage ."
ewtb.r.349020.7:5,back,,I,Direction,,Direction,,,,So I brought the car |back| the second day .
ewtb.r.361545.4:23,back,,I,Direction,,Direction,,,,"I availed myself of the wash 'n fold service , taking just about a year 's worth of dirty clothes in and getting |back| neatly folded , clean clothes in clear plastic bags ( I 'd originally brought them in , in six large yellow garbage bags ) ."
ewtb.r.363685.34:3,back,,I,Direction,,Direction,,,,"I 'd go |back| if I could get the last minute rate again of $ 99 , but I would n't pay their rack rate ."
ewtb.r.363873.6:17,back,,I,Direction,,Direction,,,,"Then , when we moved out , we cleaned the apartment top to bottom , they came |back| and tried to charge us for two cleaning fees ( and we never got our deposit back ) and past utilities ( that were already paid , we have check numbers and records of this ) ."
ewtb.r.363873.6:34,back,,I,Direction,,Direction,,,,"Then , when we moved out , we cleaned the apartment top to bottom , they came back and tried to charge us for two cleaning fees ( and we never got our deposit |back| ) and past utilities ( that were already paid , we have check numbers and records of this ) ."
ewtb.r.365630.2:21,back,,I,Direction,,Direction,,,,"I would rate Fran pcs an A + because the price was lower than everyone else , i got my computer |back| the next day , and the professionalism he showed was great ."
ewtb.r.369087.9:7,back,,I,Direction,,Direction,,,,I will definitely be bringing my car |back| for service .
ewtb.r.374000.5:4,back,,I,Direction,,Direction,,,,"The reason I go |back| is because the employees are sooooo nice . """
ewtb.r.385281.6:9,back,,I,Direction,,Direction,,,,I would highly recommend it and will be going |back| for my next haircut .
ewtb.r.396874.5:17,back,,I,Direction,,Direction,,,,The crew at The Creative Workshop went over and above the call of duty and gave me |back| a car I can drive anywhere and finally enjoy owning .
ewtb.r.142081.5:26,back and forth,,I,Direction,,Direction,,,,What made it perfect was that they offered transportation so that I would not have to wait there or take time off of work to go |back| |and| |forth| or try to find a ride .
ewtb.r.048363.9:6,down,,I,Direction,,Direction,,,,My heart pounded as I walked |down| and pounded even faster upon seeing Gerry in an SUV - Lexus !
ewtb.r.083459.6:10,down,,I,Direction,,Direction,,,,"Do n't waste time , just drive 10 minutes more |down| to Stevens Creek , they actually do try to help their customers there !"
ewtb.r.399348.8:6,for,,,Destination,,Direction,,,,"It is close to bus lines |for| Opera Plaza , Galleries Lafayette , and the famous flea Market ."
ewtb.r.026883.10:42,in,,I,Direction,,Direction,,,,Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary to attach the legs ; the dresser back legs were pushed |in| causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.035899.2:2,in,,I,Direction,,Direction,,,,We walked |in| to pick our little man at 10 minutes to closing and heard laughter from kids and the staff .
ewtb.r.035899.4:18,in,,I,Direction,,Direction,,,,Their sense of humour and calmness when dealing with the little ones amazes me every time I walk |in| .
ewtb.r.043020.5:18,in,,I,Direction,,Direction,,,,Within a week we noticed one of the boards on our gate splitting where a nail had gone |in| .
ewtb.r.059005.3:2,in,,I,Direction,,Direction,,,,I go |in| about every morning to get bagels for myself or my co-workers and the employees at Max 's are great !!
ewtb.r.101972.6:20,in,,I,Direction,,Direction,,,,"However , we waited and waited and in the mean time , saw 4 groups of people simply just paraded |in| without signing there names ."
ewtb.r.118668.3:1,in,,I,Direction,,Direction,,,,Go |in| and you will not think you are in Chesapeake .
ewtb.r.162422.3:3,in,,I,Direction,,Direction,,,,"When we walked |in| , the person behind desk said : "" oh well , you must wait , I am in the middle of something . """
ewtb.r.181771.5:7,in,,I,Direction,,Direction,,,,"I took the weekend off and came |in| and asked for the manager who is Jeff and he remembered her right away even remembered her dog , I was a bit shocked that someone would pay that close attention ."
ewtb.r.236648.2:1,in,,I,Direction,,Direction,,,,Walked |in| and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.283903.2:1,in,,I,Direction,,Direction,,,,quick |in| & out .
ewtb.r.290594.3:23,in,,I,Direction,,Direction,,,,"I 'd probably be more inclined to board my two dogs here , seeing that they do n't just take every dog coming |in| ."
ewtb.r.311138.3:9,in,,I,Direction,,Direction,,,,"Chasing them on issues from the day I moved |in| ( many of them still unresolved as I left ) to all sorts of farcical issues with funds , after I left . . . . as soon as I could ."
ewtb.r.361545.4:20,in,,I,Direction,,Direction,,,,"I availed myself of the wash 'n fold service , taking just about a year 's worth of dirty clothes |in| and getting back neatly folded , clean clothes in clear plastic bags ( I 'd originally brought them in , in six large yellow garbage bags ) ."
ewtb.r.361545.4:39,in,,I,Direction,,Direction,,,,"I availed myself of the wash 'n fold service , taking just about a year 's worth of dirty clothes in and getting back neatly folded , clean clothes in clear plastic bags ( I 'd originally brought them |in| , in six large yellow garbage bags ) ."
ewtb.r.374000.3:3,in,,I,Direction,,Direction,,,,I love walking |in| and not being hassled .
ewtb.r.398152.2:4,in,,I,Direction,,Direction,,,,I brought my car |in| for a simple emissions test .
ewtb.r.399348.5:12,in,,I,Direction,,Direction,,,,"Comfortable and clean beds , a bit noisy when people were coming |in| late from a night out , but we did n't mind too much as we were also just coming in from a night out !"
ewtb.r.399348.5:32,in,,I,Direction,,Direction,,,,"Comfortable and clean beds , a bit noisy when people were coming in late from a night out , but we did n't mind too much as we were also just coming |in| from a night out !"
ewtb.r.071650.7:14,in,,,Location,,Direction,,,,Back to my poor rating - I was excepted to medical school and went |in| to cancel my membership as I was told I could do since I was moving away .
ewtb.r.074896.5:2,in,,,Location,,Direction,,,,"I came |in| for alterations ( free , by the way ) and told her about a stain I had on my new leather purse ."
ewtb.r.164805.4:2,in,,,Location,,Direction,,,,I went |in| later that afternoon and met with Michael .
ewtb.r.348369.6:4,of,off,I,Direction,TYPO,Direction,,,,Tmobile want to Send |of| my phone and i did n't want to go thru that ...
ewtb.r.008585.5:25,off,,I,Direction,,Direction,,,,"They tracked down the only tire that fit my BMW 330i in Murfreesboro within minutes and secured it , then they came out , took |off| my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire ."
ewtb.r.110441.7:17,off,,I,Direction,,Direction,,,,Right away they told us that it was the same great food with the same prices so |off| we went .
ewtb.r.269560.5:3,off,,I,Direction,,Direction,,,,"Cheese was falling |off| , so oily and greasy ."
ewtb.r.005760.3:5,out,,I,Direction,,Direction,,,,Their Thali was not brought |out| as described ( no saag ) .
ewtb.r.010820.7:3,out,,I,Direction,,Direction,,,,I was moving |out| from 2 bdr apartment and it took for 3 strong guys 6 hours to load a track ( from 2 pm - 8 pm ) .
ewtb.r.043020.8:16,out,,I,Direction,,Direction,,,,We then called the office and the man we spoke to said he 'd send someone |out| to look at it but could n't promise when - two weeks came and went and we heard nothing .
ewtb.r.063754.1:21,out,,I,Direction,,Direction,,,,"Chuck and Gretchen were very positive , and when Alan 's refused to work on my bike , Chuck came right |out| and saw the problem and did what Alan 's mechanic would n't do ."
ewtb.r.074896.6:8,out,,I,Direction,,Direction,,,,"She immediately went to the back , brought |out| leather cleaner and cleaned my purse on the spot ."
ewtb.r.077298.4:9,out,,I,Direction,,Direction,,,,"It 's never ok to let a customer walk |out| unhappy , especially when they are right ."
ewtb.r.138249.2:11,out,,I,Direction,,Direction,,,,I have use them four times for fixing items from pushing |out| a dent in a bumper to fixing the fender on my beloved Miata .
ewtb.r.232157.3:28,out,,I,Direction,,Direction,,,,"It was a great deal -- we paid a certain amount per person , and my husband and I chose 4 types of pizza and the servers brought |out| as much as we wanted ."
ewtb.r.232157.6:25,out,,I,Direction,,Direction,,,,"Even though we were only supposed to have those specific types of pizza , when guests asked for a different type , it was brought |out| with no charge to us !"
ewtb.r.280340.6:7,out,,I,Direction,,Direction,,,,The portions were generous and we got |out| for less than the cost of one entree at some chain restaurant .
ewtb.r.283903.2:3,out,,I,Direction,,Direction,,,,quick in & |out| .
ewtb.r.314974.6:10,out,,I,Direction,,Direction,,,,Be sure to ring the little bell on your way |out| if you enjoyed your meal !
ewtb.r.164805.2:6,over,,I,Direction,,Direction,,,,I sent my wife and daughter |over| to check out a pre-owned 2009 XF .
ewtb.r.210019.2:2,over,,I,Direction,,Direction,,,,We go |over| about 5 times a year .
ewtb.r.224117.1:4,over,,I,Direction,,Direction,,,,Drove all the way |over| from the highway ... closed at 7 .
ewtb.r.330966.5:16,over,,I,Direction,,Direction,,,,"I chose the later , but approached the front desk about the hotel policy to push |over| their responsibilities on local authorities , not to mention the good night s sleep i paid for but did nt get ."
ewtb.r.017345.4:3,over,,,Location,,Direction,,,,Flipped the square |over| and saw it riddled with green mold !!!!
ewtb.r.009943.1:19,up,,I,1DTrajectory,,Direction,,,,"such a great idea this was , so easy to load and pack , no ramp , no step |up| no back aches ."
ewtb.r.107692.11:4,up,,I,Direction,,Direction,,,,I suggest you go |up| to Raging Taco & Raging Burrito a couple of blocks up the street or even Taco Mac .
ewtb.r.314974.4:22,up,,I,Direction,,Direction,,,,"If you can not park in the lot , then you can park in the shopping center 's garage , and walk |up| to Endo Sushi ."
ewtb.r.371300.2:19,in a matter of,,,Duration,,Duration,not MWE: in + a_matter_of,,,"Do n't go here unless you want to sit , order , eat and be asked to leave all |in| |a| |matter| |of| 20 minutes ."
ewtb.r.004940.13:4,for,,,Duration,for life,Duration,,,,They have a customer |for| life in us !
ewtb.r.112579.2:5,for,,,DeicticTime,for-a-long-time,Duration,,,,"I have been eating Cuban |for| a long time , sandwiches mainly along with other dishes .."
ewtb.r.071278.5:8,for,,,DeicticTime,,Duration,,,,She has taken care of my sweet girl |for| almost 4 years now and I would not let Gracee go with anyone besides her !!!
ewtb.r.015148.5:8,for,,,Duration,,Duration,,,,After all she will only be a baby |for| so long I figure why not enjoy it .
ewtb.r.020992.2:3,for,,,Duration,,Duration,,,,I was booked |for| 2 nights at this hotel in Oct 2007 .
ewtb.r.025894.3:10,for,,,Duration,,Duration,,,,One time we even left after sitting at the table |for| 20 minutes and not being greeted with a drink order .
ewtb.r.026641.2:21,for,,,Duration,,Duration,,,,I am hiring them to come once a week now that they got my house to where they can maintain it |for| only an hour and a half every two weeks !
ewtb.r.030126.3:3,for,,,Duration,,Duration,,,,"I attended it |for| 2 years , and that was enough ."
ewtb.r.036133.9:12,for,,,Duration,,Duration,,,,"Then one day , Ahmed left the country , not to return |for| months , WITHOUT informing me ."
ewtb.r.037794.1:20,for,,,Duration,,Duration,,,,We came at around 730 and they close at 8 and wanted to try the specials but they were out |for| the day so I would say go way before they close .
ewtb.r.042012.6:23,for,,,Duration,,Duration,,,,I will 4 - ever be eternally grateful for their hospitality and luv that my Sicilian family showed me when I was there |for| 3 years .
ewtb.r.043020.4:19,for,,,Duration,,Duration,,,,"Our fence was installed quickly in August and they had their money and left saying "" Workmanship is guaranteed |for| a year ! "" ."
ewtb.r.043020.9:15,for,,,Duration,,Duration,,,,"I just called again and was told that workmanship , not wood , is guaranteed |for| a year - well in my opinion - the wood split due to a nail which is part of workmanship !"
ewtb.r.047007.1:15,for,,,Duration,,Duration,,,,Called to check if they had a product I 've been using on my dog |for| years ... the boy who answered the phone could n't possibly have been ruder to me .
ewtb.r.047184.5:7,for,,,Duration,,Duration,,,,We have attended A Ward Dance Centre |for| over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening ....
ewtb.r.047762.2:9,for,,,Duration,,Duration,,,,"I have been going to the Wildwood , NJ |for| over 30 years for summer vacations and always call the Madrid first ."
ewtb.r.063690.5:5,for,,,Duration,,Duration,,,,i 'll be coming back |for| years to come !
ewtb.r.067423.2:10,for,,,Duration,,Duration,,,,Our family has been trusting Doctor Hank with our teeth |for| the last seven years .
ewtb.r.079375.4:8,for,,,Duration,,Duration,,,,We have to leave him at the vet |for| 3 days and I was told to call for check ups as often as I wished that no matter how many times I called I would not annoy them .
ewtb.r.081796.3:5,for,,,Duration,,Duration,,,,I have been shopping there |for| over six years now .
ewtb.r.093655.7:4,for,,,Duration,,Duration,,,,"I was a waitress |for| years and a key rule is to serve customers with small children before others , as I was the last to get my food ."
ewtb.r.095040.3:4,for,,,Duration,,Duration,,,,"She worked with us |for| over a year , helping us find our perfect home ."
ewtb.r.121556.2:9,for,,,Duration,,Duration,,,,"I have lived in the UTC La Jolla area |for| many years , and I never new this salon was here until a friend reffered me to see Holly here ."
ewtb.r.121987.2:3,for,,,Duration,,Duration,,,,"I lived here |for| two years when the prices were a little lower :) The places are very nice and clean , and in great condition !"
ewtb.r.126171.2:6,for,,,Duration,,Duration,,,,I have been getting my treatments |for| a few months now and have seen some results but not up to the standards that I was told I should expect .
ewtb.r.131458.2:11,for,,,Duration,,Duration,,,,I have been a friend and customer of Signs of Saltford |for| well over 12 years now and I also became their website supplier some 3 years ago .
ewtb.r.142081.4:8,for,,,Duration,,Duration,,,,It also came with free balance and rotation |for| the life of the tires !
ewtb.r.148971.5:20,for,,,Duration,,Duration,,,,"Then he renigged when he read my Health Care Proxy , even though i agreed to be on the ventilator |for| 2 months following surgery ( as he had twice stated i must agree to ) ."
ewtb.r.156460.2:7,for,,,Duration,,Duration,,,,I have been to Kim at Cheveux |for| more than five years .
ewtb.r.162567.2:12,for,,,Duration,,Duration,,,,I have worked with Shannon as my massage therapist and intuitive bodyworker |for| years and have never been disappointed .
ewtb.r.181748.4:22,for,,,Duration,,Duration,,,,It ALL had to do with the sales guy which was a young 22 year old who had admittedly only been working |for| 2 weeks .
ewtb.r.181748.7:23,for,,,Duration,,Duration,,,,"I do n't know if the kid had a bad day or what , but I had to sit and apologize about nothing |for| 10 minutes until he dropped the issue ."
ewtb.r.183518.2:0,For,,,Duration,,Duration,,,,"|For| a long time , one big source of entertainment missing from the Richmond City Limits was a first - run multiplex ."
ewtb.r.200957.2:7,for,,,Duration,,Duration,,,,I have been growing my hair out |for| 1 year plus and went in to get 1 inch taken off .
ewtb.r.201972.2:5,for,,,Duration,,Duration,,,,I came in to town |for| a week and forgot my trainers !
